system,display_paradigm,deployment_scenario,retrieval_tag,analysis_tag,retrieval_or_analysis_tag,repository_or_industrial_scenario,vulnerability_repair_scenario,active_leakage_control_confirmed,additional_validation_confirmed,independent_validation_confirmed_lower_bound,correctness_threat_confirmed_lower_bound,generalization_threat_confirmed_lower_bound
Ruiz et al.,Fine-Tuning,Localized benchmark repair,no,yes,yes,no,no,yes,yes,no,yes,yes
SAN2PATCH,Procedural,Vulnerability repair,no,yes,yes,no,yes,yes,yes,no,no,no
SWE-Agent,Agentic,Repository-level issue resolution,yes,yes,yes,yes,no,no,no,no,no,no
SWE-Agent M,Agentic,Repository-level issue resolution,yes,yes,yes,yes,no,yes,yes,yes,no,no
SWE-RL,Fine-Tuning,Repository-level issue resolution,no,yes,yes,yes,no,yes,no,no,no,no
SWE-Search,Agentic,Repository-level issue resolution,yes,yes,yes,yes,no,no,yes,yes,no,no
SecRepair,Fine-Tuning,Vulnerability repair,no,yes,yes,no,yes,no,yes,no,no,no
SpecRover,Agentic,Repository-level issue resolution,yes,yes,yes,yes,no,no,yes,no,yes,no
TSAPR,Agentic,Localized benchmark repair,no,yes,yes,no,no,yes,yes,no,no,yes
ThinkRepair,Procedural,Localized benchmark repair,no,yes,yes,no,no,yes,yes,no,yes,yes
Tian et al.,Prompting,Localized benchmark repair,no,no,no,no,no,yes,no,no,no,no
TraceFixer,Fine-Tuning,Localized benchmark repair,no,yes,yes,no,no,no,no,no,no,no
TracePrompt,Prompting,Localized benchmark repair,no,yes,yes,no,no,no,no,no,no,no
Vul-R2,Fine-Tuning,Vulnerability repair,no,yes,yes,no,yes,yes,no,no,no,yes
VulDebugger,Agentic,Vulnerability repair,no,yes,yes,no,yes,no,yes,yes,no,no
VulMaster,Fine-Tuning,Vulnerability repair,no,yes,yes,no,yes,yes,yes,no,yes,yes
Xia et al.,Prompting,Localized benchmark repair,no,yes,yes,no,no,no,yes,no,yes,no
