system,benchmark_family,benchmark,original_display_paradigm,original_control_subtype,original_deployment_scenario,coder_2_display_paradigm,coder_2_control_subtype,coder_2_retrieval_tag,coder_2_analysis_tag,coder_2_deployment_scenario,coder_2_evidence_location,coder_2_rationale,coder_3_display_paradigm,coder_3_control_subtype,coder_3_retrieval_tag,coder_3_analysis_tag,coder_3_deployment_scenario,coder_3_evidence_location,coder_3_rationale
DistiLRR,Other,HumanEval-Perl,Fine-Tuning,Knowledge Distillation,Localized benchmark repair,Fine-Tuning,Knowledge Distillation,no,yes,Localized benchmark repair,Abstract Section 3.2 Section 4.1,"Coded as Fine-Tuning / Knowledge Distillation; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract Section 3.2 Section 4.1.",Fine-Tuning,Knowledge Distillation,no,yes,Localized benchmark repair,Abstract Section 3.2 Section 4.1,"Coded as Fine-Tuning / Knowledge Distillation; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract Section 3.2 Section 4.1."
NARRepair,Defects4J,Defects4J v1.2/2.0,Fine-Tuning,Knowledge Distillation,Localized benchmark repair,Fine-Tuning,Knowledge Distillation,no,yes,Localized benchmark repair,Section 3.2 Teacher-Student Training Section 4.1,"Coded as Fine-Tuning / Knowledge Distillation; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 3.2 Teacher-Student Training Section 4.1.",Fine-Tuning,Knowledge Distillation,no,yes,Localized benchmark repair,Section 3.2 Teacher-Student Training Section 4.1,"Coded as Fine-Tuning / Knowledge Distillation; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 3.2 Teacher-Student Training Section 4.1."
RePair,Other,CodeNet4Repair,Fine-Tuning,RLFT,Localized benchmark repair,Fine-Tuning,RLFT,no,yes,Localized benchmark repair,Abstract Section 2.1 Figure 1,"Coded as Fine-Tuning / RLFT; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract Section 2.1 Figure 1.",Fine-Tuning,RLFT,no,yes,Localized benchmark repair,Abstract Section 2.1 Figure 1,"Coded as Fine-Tuning / RLFT; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract Section 2.1 Figure 1."
SecRepair,Other,InstructVul,Fine-Tuning,RLFT,Vulnerability repair,Fine-Tuning,RLFT,no,yes,Vulnerability repair,Abstract  Section 3.2,"Coded as Fine-Tuning / RLFT; retrieval=no, analysis=yes, scenario=Vulnerability repair, based on Abstract  Section 3.2.",Fine-Tuning,RLFT,no,yes,Vulnerability repair,Abstract  Section 3.2,"Coded as Fine-Tuning / RLFT; retrieval=no, analysis=yes, scenario=Vulnerability repair, based on Abstract  Section 3.2."
SWE-RL,SWE-bench Verified,SWE-bench Verified,Fine-Tuning,RLFT,Repository-level issue resolution,Fine-Tuning,RLFT,no,yes,Repository-level issue resolution,Abstract  Section 2.1 (Reward Modeling) Section 3.1 (Experimental Setup),"Coded as Fine-Tuning / RLFT; retrieval=no, analysis=yes, scenario=Repository-level issue resolution, based on Abstract  Section 2.1 (Reward Modeling) Section 3.1 (Experimental Setup).",Fine-Tuning,RLFT,no,yes,Repository-level issue resolution,Abstract (Reward Modeling) (Experimental Setup),"Coded as Fine-Tuning / RLFT; retrieval=no, analysis=yes, scenario=Repository-level issue resolution, based on Abstract (Reward Modeling) (Experimental Setup)."
AdaPatcher,Other,ACPR,Fine-Tuning,RLFT,Localized benchmark repair,Fine-Tuning,RLFT,no,yes,Localized benchmark repair,Abstract Section 3.2,"Coded as Fine-Tuning / RLFT; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract Section 3.2.",Fine-Tuning,RLFT,no,yes,Localized benchmark repair,Abstract Section 3.2,"Coded as Fine-Tuning / RLFT; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract Section 3.2."
Vul-R2,Vulnerability repair datasets,PrimeVul,Fine-Tuning,RLFT,Vulnerability repair,Fine-Tuning,RLFT,no,yes,Vulnerability repair,Abstract Section 3,"Coded as Fine-Tuning / RLFT; retrieval=no, analysis=yes, scenario=Vulnerability repair, based on Abstract Section 3.",Fine-Tuning,RLFT,no,yes,Vulnerability repair,Abstract Section 3,"Coded as Fine-Tuning / RLFT; retrieval=no, analysis=yes, scenario=Vulnerability repair, based on Abstract Section 3."
TraceFixer,Other,CodeNet,Fine-Tuning,Full Fine-Tuning,Localized benchmark repair,Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Abstract,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract.",Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Abstract,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract."
InferFix,Other,InferredBugs,Fine-Tuning,Full Fine-Tuning,Localized benchmark repair,Fine-Tuning,Full Fine-Tuning,yes,yes,Industrial / practitioner workflow,Section 3  Figure 2,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=yes, analysis=yes, scenario=Industrial / practitioner workflow, based on Section 3  Figure 2.",Fine-Tuning,Full Fine-Tuning,yes,yes,Industrial / practitioner workflow,Section 3  Figure 2,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=yes, analysis=yes, scenario=Industrial / practitioner workflow, based on Section 3  Figure 2."
PyTy,Other,PyTyDefects,Fine-Tuning,Full Fine-Tuning,Localized benchmark repair,Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Abstract,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract.",Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Abstract,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract."
NTR,HumanEval-Java,HumanEval-Java,Fine-Tuning,Full Fine-Tuning,Localized benchmark repair,Fine-Tuning,Full Fine-Tuning,no,no,Localized benchmark repair,Abstract Section 3,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=no, analysis=no, scenario=Localized benchmark repair, based on Abstract Section 3.",Fine-Tuning,Full Fine-Tuning,no,no,Localized benchmark repair,Abstract Section 3,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=no, analysis=no, scenario=Localized benchmark repair, based on Abstract Section 3."
AlphaRepair,Defects4J,Defects4J v1.2/2.0,Prompting,Zero-Shot,Localized benchmark repair,Prompting,Zero-Shot,no,yes,Localized benchmark repair,Abstract  Section 3,"Coded as Prompting / Zero-Shot; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract  Section 3.",Prompting,Zero-Shot,no,yes,Localized benchmark repair,Abstract  Section 3,"Coded as Prompting / Zero-Shot; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract  Section 3."
Prenner et al.,Other,Quixbugs,Prompting,Zero-Shot,Localized benchmark repair,Prompting,Few-Shot,no,no,Localized benchmark repair,Section 3.1,"Coded as Prompting / Few-Shot; retrieval=no, analysis=no, scenario=Localized benchmark repair, based on Section 3.1.",Prompting,Few-Shot,no,no,Localized benchmark repair,Section 3.1,"Coded as Prompting / Few-Shot; retrieval=no, analysis=no, scenario=Localized benchmark repair, based on Section 3.1."
Fan et al.,Other,LMDefects,Prompting,Zero-Shot,Localized benchmark repair,Prompting,Zero-Shot,no,yes,Localized benchmark repair,Abstract Section 3.1 Section 3.2,"Coded as Prompting / Zero-Shot; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract Section 3.1 Section 3.2.",Prompting,Zero-Shot,no,yes,Localized benchmark repair,Abstract Section 3.1 Section 3.2,"Coded as Prompting / Zero-Shot; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract Section 3.1 Section 3.2."
Tian et al.,Other,Refactory,Prompting,Zero-Shot,Localized benchmark repair,Prompting,Zero-Shot,no,no,Localized benchmark repair,Abstract Section 3,"Coded as Prompting / Zero-Shot; retrieval=no, analysis=no, scenario=Localized benchmark repair, based on Abstract Section 3.",Prompting,Zero-Shot,no,no,Localized benchmark repair,Abstract Section 3,"Coded as Prompting / Zero-Shot; retrieval=no, analysis=no, scenario=Localized benchmark repair, based on Abstract Section 3."
Xia et al.,Defects4J,Defects4J v1.2,Prompting,Few-Shot,Localized benchmark repair,Prompting,Few-Shot,no,yes,Localized benchmark repair,Abstract Section 3.1 Section 3.2,"Coded as Prompting / Few-Shot; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract Section 3.1 Section 3.2.",Prompting,Few-Shot,no,yes,Localized benchmark repair,Abstract Section 3.1 Section 3.2,"Coded as Prompting / Few-Shot; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract Section 3.1 Section 3.2."
Gao et al.,Other,B2F small,Prompting,Few-Shot,Localized benchmark repair,Prompting,Few-Shot,yes,no,Localized benchmark repair,Abstract Section 3.2,"Coded as Prompting / Few-Shot; retrieval=yes, analysis=no, scenario=Localized benchmark repair, based on Abstract Section 3.2.",Prompting,Few-Shot,yes,no,Localized benchmark repair,Abstract Section 3.2,"Coded as Prompting / Few-Shot; retrieval=yes, analysis=no, scenario=Localized benchmark repair, based on Abstract Section 3.2."
Ahmed et al.,Other,MODIT,Prompting,Few-Shot,Localized benchmark repair,Prompting,Few-Shot,yes,no,Localized benchmark repair,Abstract Section II-A,"Coded as Prompting / Few-Shot; retrieval=yes, analysis=no, scenario=Localized benchmark repair, based on Abstract Section II-A.",Prompting,Few-Shot,yes,no,Localized benchmark repair,Abstract Section II-A,"Coded as Prompting / Few-Shot; retrieval=yes, analysis=no, scenario=Localized benchmark repair, based on Abstract Section II-A."
CEDAR,Other,ATLAS,Prompting,Few-Shot,Localized benchmark repair,Prompting,Few-Shot,yes,no,Localized benchmark repair,Abstract,"Coded as Prompting / Few-Shot; retrieval=yes, analysis=no, scenario=Localized benchmark repair, based on Abstract.",Prompting,Few-Shot,yes,no,Localized benchmark repair,Abstract,"Coded as Prompting / Few-Shot; retrieval=yes, analysis=no, scenario=Localized benchmark repair, based on Abstract."
Ehsani et al.,Other,BugsInPy,Prompting,Zero-/Few-Shot,Localized benchmark repair,Prompting,Tool-Augmented,yes,yes,Vulnerability repair,Abstract,"Coded as Prompting / Tool-Augmented; retrieval=yes, analysis=yes, scenario=Vulnerability repair, based on Abstract.",Prompting,Tool-Augmented,yes,yes,Vulnerability repair,Abstract,"Coded as Prompting / Tool-Augmented; retrieval=yes, analysis=yes, scenario=Vulnerability repair, based on Abstract."
RLCE,Other,RepoBugs,Prompting,Zero-/Few-Shot,Repository-level issue resolution,Prompting,Zero-/Few-Shot,yes,yes,Vulnerability repair,Full-text method/evaluation evidence,"Coded as Prompting / Zero-/Few-Shot; retrieval=yes, analysis=yes, scenario=Vulnerability repair, based on Full-text method/evaluation evidence.",Prompting,Zero-/Few-Shot,yes,yes,Vulnerability repair,Full-text method/evaluation evidence,"Coded as Prompting / Zero-/Few-Shot; retrieval=yes, analysis=yes, scenario=Vulnerability repair, based on Full-text method/evaluation evidence."
DsRepair,Other,DS-1000,Prompting,Zero-/Few-Shot,Localized benchmark repair,Prompting,Tool-Augmented,yes,yes,Vulnerability repair,Abstract,"Coded as Prompting / Tool-Augmented; retrieval=yes, analysis=yes, scenario=Vulnerability repair, based on Abstract.",Prompting,Tool-Augmented,yes,yes,Vulnerability repair,Abstract,"Coded as Prompting / Tool-Augmented; retrieval=yes, analysis=yes, scenario=Vulnerability repair, based on Abstract."
D4C,Defects4J,Defects4J v1.2/2.0,Prompting,Zero-/Few-Shot,Localized benchmark repair,Prompting,Zero-Shot,no,yes,Localized benchmark repair,Abstract,"Coded as Prompting / Zero-Shot; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract.",Prompting,Zero-Shot,no,yes,Localized benchmark repair,Abstract,"Coded as Prompting / Zero-Shot; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract."
Appatch,Vulnerability repair datasets,Zero-Day,Prompting,Zero-/Few-Shot,Vulnerability repair,Prompting,Tool-Augmented,yes,yes,Vulnerability repair,Full-text method/evaluation evidence,"Coded as Prompting / Tool-Augmented; retrieval=yes, analysis=yes, scenario=Vulnerability repair, based on Full-text method/evaluation evidence.",Prompting,Tool-Augmented,yes,yes,Vulnerability repair,Full-text method/evaluation evidence,"Coded as Prompting / Tool-Augmented; retrieval=yes, analysis=yes, scenario=Vulnerability repair, based on Full-text method/evaluation evidence."
TracePrompt,HumanEval-Java,HumanEval-Java,Prompting,Zero-/Few-Shot,Localized benchmark repair,Prompting,Zero-/Few-Shot,no,yes,Vulnerability repair,Full-text method/evaluation evidence,"Coded as Prompting / Zero-/Few-Shot; retrieval=no, analysis=yes, scenario=Vulnerability repair, based on Full-text method/evaluation evidence.",Prompting,Zero-/Few-Shot,no,yes,Vulnerability repair,Full-text method/evaluation evidence,"Coded as Prompting / Zero-/Few-Shot; retrieval=no, analysis=yes, scenario=Vulnerability repair, based on Full-text method/evaluation evidence."
ChatRepair,Defects4J,Defects4J v1.2/2.0,Procedural,Test-in-the-Loop,Localized benchmark repair,Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,Full-text method/evaluation evidence,"Coded as Procedural / Test-in-the-Loop; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Full-text method/evaluation evidence.",Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,ChatRepair Abstract,"Coded as Procedural / Test-in-the-Loop; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on ChatRepair Abstract."
ThinkRepair,Defects4J,Defects4J v1.2/2.0,Procedural,Test-in-the-Loop,Localized benchmark repair,Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,Full-text method/evaluation evidence,"Coded as Procedural / Test-in-the-Loop; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Full-text method/evaluation evidence.",Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,Section 6.1 (ThinkRepair subsection),"Coded as Procedural / Test-in-the-Loop; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 6.1 (ThinkRepair subsection)."
REx,Other,LoopInv,Procedural,Test-in-the-Loop,Localized benchmark repair,Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,Abstract,"Coded as Procedural / Test-in-the-Loop; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract.",Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,Abstract,"Coded as Procedural / Test-in-the-Loop; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract."
ContrastRepair,HumanEval-Java,HumanEval-Java,Procedural,Test-in-the-Loop,Localized benchmark repair,Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,Abstract,"Coded as Procedural / Test-in-the-Loop; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract.",Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,Abstract,"Coded as Procedural / Test-in-the-Loop; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract."
CREF,Other,TutorCode,Procedural,Human-in-the-Loop,Educational tutoring,Procedural,Human-in-the-Loop,no,yes,Educational tutoring,Abstract,"Coded as Procedural / Human-in-the-Loop; retrieval=no, analysis=yes, scenario=Educational tutoring, based on Abstract.",Procedural,Human-in-the-Loop,no,yes,Educational tutoring,Abstract,"Coded as Procedural / Human-in-the-Loop; retrieval=no, analysis=yes, scenario=Educational tutoring, based on Abstract."
HULA,Other,Atlassian Jira issues,Procedural,Human-in-the-Loop,Industrial / practitioner workflow,Procedural,Human-in-the-Loop,yes,yes,Industrial / practitioner workflow,Abstract Section 3 (HULA Framework),"Coded as Procedural / Human-in-the-Loop; retrieval=yes, analysis=yes, scenario=Industrial / practitioner workflow, based on Abstract Section 3 (HULA Framework).",Procedural,Human-in-the-Loop,yes,yes,Industrial / practitioner workflow,Abstract Section 3 (HULA Framework),"Coded as Procedural / Human-in-the-Loop; retrieval=yes, analysis=yes, scenario=Industrial / practitioner workflow, based on Abstract Section 3 (HULA Framework)."
DRCodePilot,Other,Flink,Procedural,Human-in-the-Loop,Industrial / practitioner workflow,Procedural,Human-in-the-Loop,yes,yes,Repository-level issue resolution,Full-text method/evaluation evidence,"Coded as Procedural / Human-in-the-Loop; retrieval=yes, analysis=yes, scenario=Repository-level issue resolution, based on Full-text method/evaluation evidence.",Procedural,Human-in-the-Loop,yes,yes,Repository-level issue resolution,Full-text method/evaluation evidence,"Coded as Procedural / Human-in-the-Loop; retrieval=yes, analysis=yes, scenario=Repository-level issue resolution, based on Full-text method/evaluation evidence."
Agentless,SWE-bench Lite,SWE-bench Lite,Procedural,Scripted Tool Loop,Repository-level issue resolution,Procedural,Scripted Tool Loop,yes,yes,Repository-level issue resolution,Abstract,"Coded as Procedural / Scripted Tool Loop; retrieval=yes, analysis=yes, scenario=Repository-level issue resolution, based on Abstract.",Procedural,Scripted Tool Loop,yes,yes,Repository-level issue resolution,Abstract,"Coded as Procedural / Scripted Tool Loop; retrieval=yes, analysis=yes, scenario=Repository-level issue resolution, based on Abstract."
PATCH,Other,BFP,Procedural,Scripted Tool Loop,Repository-level issue resolution,Agentic,Self-Controlled System,yes,yes,Localized benchmark repair,Abstract,"Coded as Agentic / Self-Controlled System; retrieval=yes, analysis=yes, scenario=Localized benchmark repair, based on Abstract.",Procedural,Scripted Tool Loop,yes,yes,Localized benchmark repair,Abstract,"Coded as Procedural / Scripted Tool Loop; retrieval=yes, analysis=yes, scenario=Localized benchmark repair, based on Abstract."
KGCompass,SWE-bench Lite,SWE-bench Lite,Procedural,Scripted Tool Loop,Repository-level issue resolution,Procedural,Scripted Tool Loop,yes,yes,Repository-level issue resolution,Abstract,"Coded as Procedural / Scripted Tool Loop; retrieval=yes, analysis=yes, scenario=Repository-level issue resolution, based on Abstract.",Procedural,Scripted Tool Loop,yes,yes,Repository-level issue resolution,Abstract,"Coded as Procedural / Scripted Tool Loop; retrieval=yes, analysis=yes, scenario=Repository-level issue resolution, based on Abstract."
Repilot,Defects4J,Defects4J v1.2/2.0,Procedural,Scripted Tool Loop,Localized benchmark repair,Procedural,Scripted Tool Loop,yes,yes,Localized benchmark repair,Abstract,"Coded as Procedural / Scripted Tool Loop; retrieval=yes, analysis=yes, scenario=Localized benchmark repair, based on Abstract.",Procedural,Scripted Tool Loop,yes,yes,Localized benchmark repair,Abstract,"Coded as Procedural / Scripted Tool Loop; retrieval=yes, analysis=yes, scenario=Localized benchmark repair, based on Abstract."
SAN2PATCH,Vulnerability repair datasets,VulnLoc,Procedural,Scripted Tool Loop,Vulnerability repair,Procedural,Scripted Tool Loop,no,yes,Vulnerability repair,Abstract,"Coded as Procedural / Scripted Tool Loop; retrieval=no, analysis=yes, scenario=Vulnerability repair, based on Abstract.",Procedural,Scripted Tool Loop,no,yes,Vulnerability repair,Abstract,"Coded as Procedural / Scripted Tool Loop; retrieval=no, analysis=yes, scenario=Vulnerability repair, based on Abstract."
PredicateFix,Vulnerability repair datasets,CVE,Procedural,Scripted Tool Loop,Vulnerability repair,Procedural,Scripted Tool Loop,yes,yes,Vulnerability repair,Abstract,"Coded as Procedural / Scripted Tool Loop; retrieval=yes, analysis=yes, scenario=Vulnerability repair, based on Abstract.",Procedural,Scripted Tool Loop,yes,yes,Vulnerability repair,Abstract,"Coded as Procedural / Scripted Tool Loop; retrieval=yes, analysis=yes, scenario=Vulnerability repair, based on Abstract."
LLM4CVE,Vulnerability repair datasets,CVEFixes,Procedural,Scripted Tool Loop,Vulnerability repair,Procedural,Test-in-the-Loop,yes,yes,Vulnerability repair,Abstract,"Coded as Procedural / Test-in-the-Loop; retrieval=yes, analysis=yes, scenario=Vulnerability repair, based on Abstract.",Procedural,Test-in-the-Loop,yes,yes,Vulnerability repair,Abstract,"Coded as Procedural / Test-in-the-Loop; retrieval=yes, analysis=yes, scenario=Vulnerability repair, based on Abstract."
SWE-Agent,SWE-bench Lite,SWE-bench Lite,Agentic,Tool-Augmented,Repository-level issue resolution,Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,"Coded as Agentic / Tool-Augmented; retrieval=yes, analysis=yes, scenario=Repository-level issue resolution, based on Abstract.",Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,"Coded as Agentic / Tool-Augmented; retrieval=yes, analysis=yes, scenario=Repository-level issue resolution, based on Abstract."
SWE-Agent M,SWE-bench Other,SWE-bench Multimodal,Agentic,Tool-Augmented,Repository-level issue resolution,Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,"Coded as Agentic / Tool-Augmented; retrieval=yes, analysis=yes, scenario=Repository-level issue resolution, based on Abstract.",Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,"Coded as Agentic / Tool-Augmented; retrieval=yes, analysis=yes, scenario=Repository-level issue resolution, based on Abstract."
OpenHands,SWE-bench Lite,SWE-bench Lite,Agentic,Tool-Augmented,Repository-level issue resolution,Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,"Coded as Agentic / Tool-Augmented; retrieval=yes, analysis=yes, scenario=Repository-level issue resolution, based on Abstract.",Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,"Coded as Agentic / Tool-Augmented; retrieval=yes, analysis=yes, scenario=Repository-level issue resolution, based on Abstract."
AutoCodeRover,SWE-bench Lite,SWE-bench Lite,Agentic,Tool-Augmented,Repository-level issue resolution,Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,"Coded as Agentic / Tool-Augmented; retrieval=yes, analysis=yes, scenario=Repository-level issue resolution, based on Abstract.",Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,"Coded as Agentic / Tool-Augmented; retrieval=yes, analysis=yes, scenario=Repository-level issue resolution, based on Abstract."
