system,pdf_path,leakage_discussion_or_control,leakage_evidence_page,leakage_evidence,leakage_notes,active_leakage_mitigation_or_control,extra_validation_beyond_public_tests,validation_type,validation_evidence_page,validation_evidence,validation_notes
DistiLRR,Fine-Tuning Approaches/Knowledge Distilling/DistiLRR Transferring Code Repair  for Low-Resource Programming Languages..pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
NARRepair,Fine-Tuning Approaches/Knowledge Distilling/Narrepair Non-autoregressive code generation model for  automatic program repair.pdf,yes,12,"r common types of program errors by self-supervision. We discard some data for which we could not generate the AST and retain 837, 059 pieces of data. Since this dataset is machine-generated, we collect additional datasets from real projects on GitHub to supplement this dataset. To prevent data leakage, we remove projects related to Defect4J[21] and QuixBugs[30]. Finally, our dataset contains 1.52 million instances, and we use 90% of the dataset as training data and 10% as validation data. We use three widely used datasets for the APR task to evaluate the model performance. The first one is Defect4J v1.2 [21], which contains 395 bugs in real Java projects. The second one is Defect4J v2.0 [ 21], which contains 438 additional bugs compared to Defect4J v1.2. The third one is QuixBugs [30], which contains 40 Java bu",Removes projects related to Defects4J and QuixBugs from training data.,yes,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
RePair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Repair  Automated program repair with process-based feedback.pdf,yes,6,"64.14 60.32 65.66 Table 3: Results on CodeNet4Repair: compared to open-source models, our process-based feedback method has demonstrated superior performance. It also remains competitive when compared with commercial LLMs. Figure 3 (b) shows the distribution of these test cases. To prevent data leakage, we divided Co- deNet4Repair based on the problem ID in a ratio of 9:1. The training set consists of 94,062 repair processes, while the testing set comprises 10,144 repair processes. Table 2 provides the statistical information about filtered dataset. 4.2 Experimental Setup In the fine-tuning stage, we train our model using mixed precision training. We use AdamW opti- mizer with 2e-5 learning rate. To prevent train- ing instability caused by an excessively high learn- ing rate, we utilize a cosine LR schedule down",Splits CodeNet4Repair by problem ID to avoid train/test leakage.,yes,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
SecRepair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/LLM-Powered Code Vulnerability Repair.pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
SWE-RL,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Swe-rl Advancing llm reasoning via reinforcement learning on open software  evolution..pdf,yes,3,"y enhance an LLM’s general reasoning abilities, enabling it to improve on out-of-domain tasks like math, code generation, and general language understanding. 2 SWE-RL 2.1 Raw pull request data curation Synthetic code 2B tokens GitHub events Self-contained PRs Download GH Archive Aggregate and decontaminate Predict relevant but unchanged ﬁles PRs with relevant ﬁles Filter Raw PR dataset GitHub Git clones Figure 2 Overview of SWE-RL’s raw pull request data curation process. The collected git clones and GitHub events are transformed into self-contained PR instances via decontamination, aggregation, relevant files prediction, and filtering. Figure 2 provides a high-level overview of our process for curating the raw PR dataset forLlama3-SWE-RL. In the following paragraphs, we detail each step of the curation process. Du",Reports decontamination during PR data curation and excludes SWE-bench repositories.,yes,yes,human-verified benchmark,1,"re evolution data—the record of a software’s entire lifecycle, including its code snapshots, code changes, and events such as issues and pull requests. Trained on top of Llama 3, our resulting reasoning model, Llama3-SWE-RL-70B, achieves a41.0% solve rate on SWE-bench Verified—a human-verified collection of real-world GitHub issues. To our knowledge, this is the best performance reported for medium-sized (<100B) LLMs to date, even comparable to leading proprietary LLMs like GPT-4o. Surprisingly, despite performing RL solely on software evolution data,Llama3-SWE-RL has even emerged with generalized reasoning skills. For example, it shows improved results on five out-of-domain tasks, namely, function coding, library use, code reasoning, mathematics, and general language understanding, whereas a supervised-finetuning",Reports evaluation on SWE-bench Verified.
AdaPatcher,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Less is More Adaptive Program Repair with Bug Localization and Preference Learning.pdf,yes,5,"ggy code, f ailed test case, passed code ⟩ triplet sample. The whole dataset contains 52,168 triplet data sam- ples. We then split our dataset into train/validation/test sets by the ratio of 8:1:1, ensuring that any particular program- ming problem appears in only one of them to avoid data leakage problems. To prevent overfitting code data from the same programming problem and to ensure fairness in evalu- ation, we balance the dataset by capping the maximum num- ber of pairs per problem at 150/10/20 in the train/valida- tion/test sets. The overall statistics of the dataset are given in Table 1. Further details can be found in the Appendix. Evaluation Metrics. To thoroughly evaluate a model’s performance regarding our AdaPR task, we adopted the fol- lowing evaluation metrics: (1) Code Accuracy Rate (Acc): It represen",Splits data by programming problem so a problem appears in only one split.,yes,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
Vul-R2,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Vul-R2 A Reasoning LLM for Automated Vulnerability Repair.pdf,yes,6,"is a large-scale real-world C/C++ dataset. It aggregates vulnerability-related commits from four established datasets, BigVul [48], CVEFixes [49], CrossVul [50], and DiverseVul [51], covering more than 140 CWE categories. It applies a stringent deduplication process and adopts a temporally-aware data splitting strategy, resulting in training, validation, and test sets containing 3,789, 480, and 435 samples, respectively. b) SVEN:SVEN dataset manually vets vulnerabilities from multiple repositories of C/C++ code. It consists of 384 C/C++ vulnerabilities, covering 9 CWEs. By manual inspection, the accuracy of SVEN reaches 94.0%. We use SVEN as the test set without further training. C. Baselines To provide a comprehensive evaluation, we experiment on two types of methods, with details as below.(a) CodePTM- based methods:We",Uses temporally aware PrimeVul splitting and SVEN as a separate test set.,yes,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
TraceFixer,Fine-Tuning Approaches/Context-Enriched fine-tuning/TraceFixer Execution tracedriven program repair..pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
InferFix,Fine-Tuning Approaches/Context-Enriched fine-tuning/Inferfix End-to-end program repair with llms.pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,yes,static-analysis/CI validation,1,"tperforms strong LLM baselines, with a top-1 accuracy of 65.6% for generating fixes in C# and 76.8% in Java. We discuss the deployment of InferFix alongside Infer at Microsoft which offers an end-to-end solution for detection, classification, and localization of bugs, as well as fixing and validation of candidate patches, integrated in the continuous integration (CI) pipeline to automate the software development workflow. Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than the author(s) must be honored. Abstracting with credit is permitted. To cop",Describes deployment with Infer and candidate-patch validation in CI.
PyTy,Fine-Tuning Approaches/Context-Enriched fine-tuning/Pyty Repairing static type errors in python..pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,yes,static type-checker validation,2,"illion-lines-of- python 6https://developers.facebook.com/blog/post/2021/05/10/eli5-pyre-fast-error- flagging-python-codebases/ JavaScript code and apply it to fixing Python type errors. To ensure that every fix suggested by PyTy indeed fixes the targeted type error, the approach checks candidate fixes with a gradual type checker, and returns a fix only if it removes the error. Results. Our evaluation on a held-out subset of 281 type error fixes shows that PyTy finds a fix that removes type errors for 85.4% of all errors. Moreover, 54.4% of the predicted fixes exactly match the developer’s fix. Comparing PyTy with previous work, we find that it clearly outperforms several state-of-the-art large language models (text-davinci-003, gpt-3.5-turbo, and gpt-4) asked to repair type errors (54.4% vs. 26.4% exact matches) and complements a techniqu",Returns a fix only if the gradual type checker reports the target type error removed.
NTR,Fine-Tuning Approaches/Context-Enriched fine-tuning/Template-guided program repair in the era of large  language models..pdf,yes,10,"of the NTR strategy. In addition, NTR fixed 2 more samples than the SOTA vulnerability repair work VulMaster [57] on Vul4J, achieving a 22.22% improvement. This shows that the LLM-based implementation of NTR can generalize well to other similar tasks. V. T HREATS TO VALIDITY 1) Data Leakage: The pre-training data of LLMs may contain correct patches for buggy projects, which could affect the evaluation. We mitigate this threat from three ways: First, the LLM we used, StarCoder, provides a page [58] that can detect data leakage, which helps us detect and understand how our experimental results suffer from data leakage. Specifically, we detected the correct patches generated by NTR cs on Defects4J V1.2 in our main experiment and found that 8 (Closure-15/38/63, Lang-10/24/33/43, Math-104) of them were threatened by data leakag",Explicitly checks/mitigates leakage via StarCoder leakage-detection support.,yes,yes,manual semantic patch check,7,"for each bug version, we allocate a maximum of 5 hours for the validation run, retaining only the first (top-1) plausible patch candidate that successfully passes all test cases. Should a candidate meet these criteria, the validation for that bug ceases immediately. Finally, the plausible patches will be manually checked to verify whether they are semantically correct or not. We summarize the different implementations of NTR in Table II. The above is implemented based on Python 3.10 and PyTorch 2.2, and all models are from HuggingFace. We conduct the main experiments on a 12-Core workstation with Intel(R) Xeon(R) Bronze 3204 CPU, 256 GB RAM and a TESLA A100 GPU, running Ubuntu 20.04.6 LTS. IV. E XPERIMENT RESULT A. RQ1: Repair Effectiveness 1) Setup: In the main experiment, we aim to explore the effectiveness of NTR in common bug",Manually checks plausible patches for semantic correctness.
AlphaRepair,"Prompting Approaches/Zero-shot Prompting/Less training, more repairing please revisiting automated program repair via zero-shot learning.pdf",no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,yes,manual semantic patch check,8,"we use the standard metrics of both plausible patches that just pass the entire test suite of a project, and correct patches that are syntacti- cally or semantically equivalent to the developer patches. Following the common practice for APR, the correct patches are determined by manually inspecting each plausible patch for semantic equivalency. 5 RESULT ANALYSIS 5.1 RQ1: Comparison against State of the Art 5.1.1 Perfect Fault Localization. We first compare AlphaRepair with state-of-the-art learning-based and traditional APR tools under the preferred perfect fault localization setting. Table 1 shows the performance of AlphaRepair along with other baselines that also use perfect fault localization. AlphaRepair can successfully generate correct fixes for 74 bugs which outperforms all previous baselines including both traditional an",Manually inspects plausible patches for semantic equivalency.
Prenner et al.,Prompting Approaches/Zero-shot Prompting/Can OpenAI’s Codex Fix Bugs.pdf,yes,6,"ark and two programming languages. Extending this study to benchmarks that involve more complex codebases(e.g.,Defects4J[ 11]oradditionalprogramminglanguages (e.g., BugsJS [9], a JavaScript benchmark) would provide additional interesting insights into Codex’ repair capabilities. Data leakage.Codex was trained on very large amounts of code; only OpenAI staff can know with certainty which repositories were included. We cannot rule out that the correct ground-truth programs were in Codex’ training set. This issue is very difficult to address. There are however mitigating factors: First, if present, these versions would constitute a tiny portion of the training data (54 million repositories). Second, if the correct program versions were in the training set, so would, very likely, also be the incorrect ver",Discusses possible Codex training-set leakage for the benchmark.,no,yes,manual evaluation step,3,"ameter Value Engine davinci-codex Temperature 0 Max Tokens 1024 Top-p 1.0 Frequency Penalty 0.0 Presence Penalty 0.0 Stop ’###’, ’///’ We set Codex’ parameters as shown in Table 1. We did not yet systematically investigate the effect of these parameters on repair success, as our evaluation involves a significant manual step. The temperature and top-p parameters control the randomness of the model: a higher temperature or a lower top-p yield more diverse output. The Codex documentation recommends to set temperature to zero or a low value and not to vary both, temperature and top-p. We set the temperature to zero and top-p to one, which lowers diversity but ought to give high robustness. The frequency and presence penalties prevent the model from outputing the same 71 [[PAGE 4]] APR’22, May 19, 2022, Pittsburgh, PA, USA Julian Aron P",Reports a significant manual step in evaluation.
Fan et al.,Prompting Approaches/Zero-shot Prompting/Automated repair of programs  from large language models.pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,yes,held-out private tests,3,"olutions on public example test cases. For each unsolved programming task, existing test-based repair tools (using the public tests) are then applied to ﬁx the incorrect solutions produced by Codex. The patched solutions are then validated using (1) the public tests, and (2) the held-out (private) tests in the LeetCode platform. To answer our research questions, we build a dataset LMDefects with 113 programming tasks in LeetCode [13]. Each task is described using natural language text accompa- nied with 1–3 public tests that provide examples with pairs of (input, output). When a solution is submitted to LeetCode, it runs a set of private tests to validate the correctness of submissions. LeetCode has weekly and biweekly contests, where it releases new programming tasks. In our study, we only consider easy-level an",Validates patched LeetCode solutions with public and held-out private tests.
Tian et al.,Prompting Approaches/Zero-shot Prompting/Is ChatGPT the ultimate programming assistant–how far is it.pdf,yes,7,"blems (e.g., searching/sorting/deduplication algorithms). Table 2 shows a summary of the benchmark. We note that ChatGPT has been trained on a diverse and extensive dataset of text, including sources such as web pages, books, articles, and online forums. This actually presents a potential data leakage problem for the relevant research. Because when selecting experimental benchmarks on which ChatGPT will be evaluated, we are uncertain whether ChatGPT has already learned the solution references provided in these benchmarks in advance. In this case, the achieved performance and insights about ChatGPT may not be able to be generalized to new or unseen problems. To evaluate ChatGPT’s true capability and mitigate the possible cold start problem3 of ChatGPT, we elaborate on how we utilize the two benchmarks mentioned above fo",Uses unseen/common-problem benchmarks to mitigate leakage concerns.,yes,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
Xia et al.,Prompting Approaches/Few-shot Prompting/Automated_Program_Repair_in_the_Era_of_Large_Pre-trained_Language_Models.pdf,yes,8,"fects4J 1.2. We also combine all ﬁxes from other baselines together into the “Others” category in the V enn diagram. We observe that by combining all the models together, we can generate a signiﬁcant amount of unique bug ﬁxes (36) that no other tools have ﬁxed so far. Due to the potential data leakage issue (discussed in detail in Section VI), we further investigate whether LLMs can generate correct patches that are not exactly the same as developer patches. Figure 5b shows the unique bug ﬁxes on Defects4J 1.2 compared to the baselines when we remove all ﬁxes which are exactly the same as the developer patch. We observe that combining all LLMs together would still achieve the highest number of bug ﬁxes (93) with 31 unique bug ﬁxes. To demonstrate the ability of these LLMs, we show some unique ﬁxes produced b",Analyzes whether generated Defects4J patches match developer/training-data patches.,no,yes,manual semantic patch check,6,"aluate the repair performance, we use the standard metrics of plausible patches– passing the all test cases, and correct patches – syntactically or semantically equivalent to the reference patches. To determine correct patches, we follow the standard practice in APR research and manually inspect each plausible patch for semantic equivalency. V. R ESULT A. RQ1: Comparison of Different LLMs 1) Repair effectiveness: We ﬁrst compare LLMs against each other in generating plausible and correct patches. Ta- ble III shows the results of 6 generative models under complete function generation setting. The two integers in each cell represent the number of correct and plausible patches. We ﬁrst observe that similar to previous studies in NLP [40], there is a scaling effect on the repair effectiveness. As we increase the size of the model",Manually inspects plausible patches for semantic equivalency.
Gao et al.,Prompting Approaches/Few-shot Prompting/What_Makes_Good_In-Context_Demonstrations_for_Code_Intelligence_Tasks_with_LLMs.pdf,yes,10,"monstration examples as possible, but be mindful of the maximum length limitation to avoid truncation issues. To save costs, it is also suggested that four examples are used in the demonstration. B. Threats to V alidity We identify three main threats to validity of our study: 1) Potential data leakage. In this paper, we conduct ex- periments by using the API of OpenAI Codex, GPT- 3.5, and ChatGPT. However, since they are closed-source models, their parameters and training sets are not publicly available, which raises concerns about potential data leak- age. Speciﬁcally, there is a possibility that the model has already been trained on the test set and merely memorizes the results instead of predicting them. However, we can observe from our experiments that the model’s perfor- mance in a zero-shot setting is cat",Discusses closed-source Codex/GPT training-set leakage as a threat.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
Ahmed et al.,Prompting Approaches/Few-shot Prompting/Majority Rule better patching via Self-Consistency.pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
CEDAR,Prompting Approaches/Few-shot Prompting/Retrieval-Based_Prompt_Selection_for_Code-Related_Few-Shot_Learning.pdf,yes,10,"ration pool could potentially be collected from a dynamic source, as opposed to a static pool of examples. As part of future work, we plan to augment our demonstration pool to support relevant GitHub commits or project-speciﬁc mining of CDs in real-time. V. T HREA TS TO VALIDITY Potential data leakage. CODEX is trained on open-source code repositories, and it is possible that there is a data leakage, i.e., the testing dataset was included in its training. The training dataset used by C ODEX is not publicly available. As such, there is a potential threat that the model’s output is generated due to memorization. However, we observe that (a) the model does not perform well with zero-shot prompting, indicating it has not memorized the test data, (b) for both the random selection and CEDAR, we use the exact same mod",Discusses Codex training-set leakage and uses same model/test set for controlled comparisons.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
