system,pdf_path,category,page,snippet
Jiang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Impact of Code Language Models on Automated.pdf,leakage,1,"analyzes the size, time, and memory efﬁciency of different CLMs. This work shows promising directions for the APR domain, such as ﬁne-tuning CLMs with APR-speciﬁc designs, and also raises awareness of fair and comprehensive evaluations of CLMs and calls for more transparent reporting of open-source reposi- tories used in the pre-training data to address the data leaking problem. Index Terms —Automated Program Repair, Code Language Model, Fine-Tuning, Deep Learning 2023 IEEE/ACM 45rd International Conference on Software Engineering (ICSE) xxxxx © 2023 IEEE. DOI xxxxx I. I NTRODUCTION Automated program repair (APR) [1]–[3] helps developers im- prove software reliability by generating patches automatically to repair software defects. Many deep learning (DL)-based APR techniques [4]–[13] adapt DL models to take a buggy software program as input and generate a patched program. A ty"
Jiang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Impact of Code Language Models on Automated.pdf,leakage,2,"ks such as Defects4J v1.2 [40], Defects4J v2.0 [40], and QuixBugs [41], to evaluate the ﬁxing capabilities of CLMs [42], there is a challenge that the training data of these CLMs may contain the bugs or ﬁxes in these APR benchmarks, since these CLMs use public repositories such as all GitHub repositories by a certain date [23], [24], [35], [37], [38]. While data leaking is a threat to all CLM-related papers, not just this paper, this threat is less of a concern for APR compared to other domains [43], [44], since CLMs do not see the pairs of buggy code and their ﬁxed code during training, and their training data often contains at most the buggy code or the ﬁxed code, but not both. We address this data-leaking challenge by manually creating a new evaluation benchmark HumanEval- Java that has not been seen by any of the evaluated CLMs during training. In this work, we evaluate te"
Jiang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Impact of Code Language Models on Automated.pdf,leakage,2,"], [38]. While data leaking is a threat to all CLM-related papers, not just this paper, this threat is less of a concern for APR compared to other domains [43], [44], since CLMs do not see the pairs of buggy code and their ﬁxed code during training, and their training data often contains at most the buggy code or the ﬁxed code, but not both. We address this data-leaking challenge by manually creating a new evaluation benchmark HumanEval- Java that has not been seen by any of the evaluated CLMs during training. In this work, we evaluate ten code language models of four types (PLBART [23], CodeT5 [24], CodeGen [35], and InCoder [45]) on four benchmarks (Defects4J v1.2 [40], De- fects4J v2.0 [40], QuixBugs [41] and HumanEval-Java). We run developer-written test cases to validate the correctness of generated patches to evaluate and compare the ten CLMs. B. Fine-tuning CLMs for the"
Jiang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Impact of Code Language Models on Automated.pdf,leakage,4,") Patched Programs RQ2: Impact of Fine-tuning Patch Generation Patched Programs Patched Programs RQ3: Size, Time and Memory Efficiency Fig. 2: Overview of experimental design. and “Apache commons-math”. QuixBugs is a benchmark that contains 40 bugs regarding famous algorithms like “quick sort” and “merge sort”. B. New HumanEval-Java Benchmark to Avoid Data Leaking Defects4J v1.2, Defects4J v2.0, and QuixBugs are widely used by DL-based APR techniques. However, applying CLMs only on them might be problematic, as CLMs may have seen these benchmarks in their pre-training data. By checking Code- SearchNet [50] and BigQuery 1, which are the data sources of common CLMs, we ﬁnd that four repositories used by the Defects4J benchmark are also in CodeSearchNet, and the whole Defects4J repository is included by BigQuery. Thus, it is very likely that existing APR benchmarks are seen"
Jiang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Impact of Code Language Models on Automated.pdf,leakage,4,"QuixBugs is a benchmark that contains 40 bugs regarding famous algorithms like “quick sort” and “merge sort”. B. New HumanEval-Java Benchmark to Avoid Data Leaking Defects4J v1.2, Defects4J v2.0, and QuixBugs are widely used by DL-based APR techniques. However, applying CLMs only on them might be problematic, as CLMs may have seen these benchmarks in their pre-training data. By checking Code- SearchNet [50] and BigQuery 1, which are the data sources of common CLMs, we ﬁnd that four repositories used by the Defects4J benchmark are also in CodeSearchNet, and the whole Defects4J repository is included by BigQuery. Thus, it is very likely that existing APR benchmarks are seen by CLMs during pre-training. To overcome this threat, we create a new bug benchmark from HumanEval [36], named HumanEval-Java. HumanEval is a dataset manually created to address the threat that CLMs may have seen te"
Jiang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Impact of Code Language Models on Automated.pdf,extra_validation,6,"syntaxes and semantics. G. Patch Generation and Validation For all experiments, we let each tool (CLMs, ﬁne-tuned CLMs, or DL-based APR techniques) generate ten candidate patches for each bug and run the developer-written test cases on the patched program. The ﬁrst patched program that passes all the test cases is considered a plausible patch. And we ﬁnally manually check the correctness of plausible patches to distinguish correct patches (which should be identical or semantically equivalent to developer-written patches). IV. RQ1: F IXING CAPABILITIES Table II shows the ﬁxing capabilities of the ten CLMs and three state-of-the-art DL-based APR techniques on four bug benchmarks, including our new HumanEval-Java. We report the number of correct patches within the top ten patches generated by each technique since recent work shows that 93% of developers are only willing to review up t"
Jiang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Impact of Code Language Models on Automated.pdf,extra_validation,11,"tible to the data- leaking threat, because Codex models keep updating with the latest open-source data and potential user input 2. Making a solid and fair evaluation of Codex remains an important and challenging future work. Another threat lies in the evaluation of patch correctness. Instead of using automated metrics such as BLEU [58] and CodeBLEU [39], we manually check if the patches pass the test cases are semantically equivalent to the developer patches, which could be subjective. Yet, our experiments show BLEU and CodeBLUE are indeed misleading in comparing APR techniques. The CodeBLUE score of RewardRepair’s patches on the HumanEval-Java benchmark is 36.76, higher than the ﬁne-tuned CodeT5 model (33.47), but it ﬁxes 19 fewer bugs. We suspect this is because CLMs generate patches with more diversity, and thus better automated metrics are needed. IX. R ELATED WORK A. Language"
VulMaster,"Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Out of sight, out of mind Better automatic  vulnerability repair by broadening input ranges and sources..pdf",leakage,2,"ively mitigate the input length limitations of Transformer-based mod- els and integrated with other valuable aiding information. • We discover more diverse and valuable information such as vul- nerable code structures and expert knowledge for CWEs, which can boost the effectiveness of repairing vulnerability. • We further identify and address a hidden label leakage issue in the datasets used in the prior work, which can contribute to a more precise evaluation of future studies. 2 PRELIMINARIES AND MOTIV ATION 2.1 Motivating Example In ❶ of Figure 1, we show an example to analyze how junior secu- rity engineers repair a vulnerable function of CWE-125 (e.g., the vulnerable code before fixing shown in ❷ of Figure 1) and explain our two motivations below. (1) Understanding the vulnerable function is the first thing. Instead of directly crafting an appropriate fix, the security d"
VulMaster,"Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Out of sight, out of mind Better automatic  vulnerability repair by broadening input ranges and sources..pdf",leakage,6,"function to signify the start and the end of the repaired code lines, respectively. These special tokens serve the purpose of guiding the model’s attention toward the vulnerable code lines and the corresponding fixed code lines. In other words, <StartLoc> and <EndLoc> provide the perfect vulnerability localization to vulnera- bility repair approaches. Label leakage issue. In this paper, the reported performance of the learning-based SOTA VulRepir is different from its original pa- per [19]. This is caused by our leakage correction. The dataset used in VulMaster is merged from two existing datasets CVEFixes [5] and Big-Vul [15]. The authors of VulRepair seem to assume that data samples from two datasets are different from each other. By checking the vulnerable and fixed code pairs from each dataset, we found that about 60% of the pairs are duplicates. As the authors of VulRep"
VulMaster,"Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Out of sight, out of mind Better automatic  vulnerability repair by broadening input ranges and sources..pdf",leakage,6,"ward the vulnerable code lines and the corresponding fixed code lines. In other words, <StartLoc> and <EndLoc> provide the perfect vulnerability localization to vulnera- bility repair approaches. Label leakage issue. In this paper, the reported performance of the learning-based SOTA VulRepir is different from its original pa- per [19]. This is caused by our leakage correction. The dataset used in VulMaster is merged from two existing datasets CVEFixes [5] and Big-Vul [15]. The authors of VulRepair seem to assume that data samples from two datasets are different from each other. By checking the vulnerable and fixed code pairs from each dataset, we found that about 60% of the pairs are duplicates. As the authors of VulRepair [19] further randomly split the merged dataset into training/validation/test sets, it leads to the presence of duplicated samples across the training, val"
VulMaster,"Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Out of sight, out of mind Better automatic  vulnerability repair by broadening input ranges and sources..pdf",leakage,6,"ferent from each other. By checking the vulnerable and fixed code pairs from each dataset, we found that about 60% of the pairs are duplicates. As the authors of VulRepair [19] further randomly split the merged dataset into training/validation/test sets, it leads to the presence of duplicated samples across the training, validation, and test sets. The label leakage issue might lead to an overestimation in performance mea- surement and artificially inflated scores [ 4]. To tackle this problem, we conducted a deduplication operation in three steps. Firstly, we removed any samples from the training set that were identical to any samples in the validation or test sets. Next, we eliminated any samples from the validation set that were identical to any samples in the test set. Finally, we eliminated 94 duplicate samples within the test set. The deduplication statistics are present"
VulMaster,"Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Out of sight, out of mind Better automatic  vulnerability repair by broadening input ranges and sources..pdf",leakage,6,"thors of VulRepair [19] further randomly split the merged dataset into training/validation/test sets, it leads to the presence of duplicated samples across the training, validation, and test sets. The label leakage issue might lead to an overestimation in performance mea- surement and artificially inflated scores [ 4]. To tackle this problem, we conducted a deduplication operation in three steps. Firstly, we removed any samples from the training set that were identical to any samples in the validation or test sets. Next, we eliminated any samples from the validation set that were identical to any samples in the test set. Finally, we eliminated 94 duplicate samples within the test set. The deduplication statistics are presented in Table 1. To assess the impact of the label leakage issue, we first use the replication package [18] released by the authors of VulRepair to train VulR"
VulMaster,"Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Out of sight, out of mind Better automatic  vulnerability repair by broadening input ranges and sources..pdf",leakage,6,"oblem, we conducted a deduplication operation in three steps. Firstly, we removed any samples from the training set that were identical to any samples in the validation or test sets. Next, we eliminated any samples from the validation set that were identical to any samples in the test set. Finally, we eliminated 94 duplicate samples within the test set. The deduplication statistics are presented in Table 1. To assess the impact of the label leakage issue, we first use the replication package [18] released by the authors of VulRepair to train VulRepair from scratch by using the original fine-tuning dataset. Experimental results indicate just a 0.2% difference between our replication and the reported performance in the VulRepair pa- per, validating the correct usage of their replication package. Next, we trained another VulRepair from scratch on the deduplicated version of the da"
VulMaster,"Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Out of sight, out of mind Better automatic  vulnerability repair by broadening input ranges and sources..pdf",extra_validation,1,"pair approaches, which effectively learn the mapping from the vulnerable code to the fixed code. Never- theless, existing DL-based vulnerability repair methods face notable limitations: 1) they struggle to handle lengthy vulnerable code, 2) they treat code as natural language texts, neglecting its inherent structure, and 3) they do not tap into the valuable expert knowl- edge present in the expert system. To address this, we propose VulMaster, a Transformer-based neural network model that excels at generating vulnerability repairs by comprehensively understand- ing the entire vulnerable code, irrespective of its length. This model also integrates diverse information, encompassing vulnerable code structures and expert knowledge from the CWE system. We evalu- ated VulMaster on a real-world C/C++ vulnerability repair dataset comprising 1,754 projects with 5,800 vulnerable func"
VulMaster,"Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Out of sight, out of mind Better automatic  vulnerability repair by broadening input ranges and sources..pdf",extra_validation,1,"learn the mapping from the vulnerable code to the fixed code. Never- theless, existing DL-based vulnerability repair methods face notable limitations: 1) they struggle to handle lengthy vulnerable code, 2) they treat code as natural language texts, neglecting its inherent structure, and 3) they do not tap into the valuable expert knowl- edge present in the expert system. To address this, we propose VulMaster, a Transformer-based neural network model that excels at generating vulnerability repairs by comprehensively understand- ing the entire vulnerable code, irrespective of its length. This model also integrates diverse information, encompassing vulnerable code structures and expert knowledge from the CWE system. We evalu- ated VulMaster on a real-world C/C++ vulnerability repair dataset comprising 1,754 projects with 5,800 vulnerable functions. The experimental results de"
VulMaster,"Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Out of sight, out of mind Better automatic  vulnerability repair by broadening input ranges and sources..pdf",extra_validation,1,"expert knowl- edge present in the expert system. To address this, we propose VulMaster, a Transformer-based neural network model that excels at generating vulnerability repairs by comprehensively understand- ing the entire vulnerable code, irrespective of its length. This model also integrates diverse information, encompassing vulnerable code structures and expert knowledge from the CWE system. We evalu- ated VulMaster on a real-world C/C++ vulnerability repair dataset comprising 1,754 projects with 5,800 vulnerable functions. The experimental results demonstrated that VulMaster exhibits substan- tial improvements compared to the learning-based state-of-the-art vulnerability repair approach. Specifically, VulMaster improves the EM, BLEU, and CodeBLEU scores from 10.2% to 20.0%, 21.3% to 29.3%, and 32.5% to 40.9%, respectively. 1 INTRODUCTION As the software landscape expand"
VulMaster,"Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Out of sight, out of mind Better automatic  vulnerability repair by broadening input ranges and sources..pdf",extra_validation,1,"bility. However, when a software vulnerability is detected, it becomes of utmost importance to promptly rectify and resolve it in order ∗Corresponding author. ICSE ’24, April 14–20, 2024, Lisbon, Portugal © 2024 Copyright held by the owner/author(s). ACM ISBN 979-8-4007-0217-4/24/04. https://doi.org/10.1145/3597503.3639222 to minimize the potential risks of exploitation. However, address- ing software vulnerabilities often requires specialized expertise, and the existing pool of experienced developers is insufficient to tackle the extensive number of vulnerabilities found in millions of software systems [31]. Furthermore, the manual resolution of vulnerabilities is a time-consuming process; the GitHub 2020 secu- rity report finds that it takes 4.4 weeks to fix a vulnerability after its identification [17]. As a result, there is an urgent demand for automated methods to repai"
VulMaster,"Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Out of sight, out of mind Better automatic  vulnerability repair by broadening input ranges and sources..pdf",extra_validation,1,"nce to promptly rectify and resolve it in order ∗Corresponding author. ICSE ’24, April 14–20, 2024, Lisbon, Portugal © 2024 Copyright held by the owner/author(s). ACM ISBN 979-8-4007-0217-4/24/04. https://doi.org/10.1145/3597503.3639222 to minimize the potential risks of exploitation. However, address- ing software vulnerabilities often requires specialized expertise, and the existing pool of experienced developers is insufficient to tackle the extensive number of vulnerabilities found in millions of software systems [31]. Furthermore, the manual resolution of vulnerabilities is a time-consuming process; the GitHub 2020 secu- rity report finds that it takes 4.4 weeks to fix a vulnerability after its identification [17]. As a result, there is an urgent demand for automated methods to repair vulnerabilities. A number of program analysis-based vulnerability repair ap- proaches"
VulMaster,"Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Out of sight, out of mind Better automatic  vulnerability repair by broadening input ranges and sources..pdf",extra_validation,2,"has demonstrated the benefits of including code structures, such as the Abstract Syn- tax Tree (AST), in tasks like code clone detection [ 51, 82], code search [56], and bug comprehension [ 49]. Following these prior studies, we also include the AST as a part of the model’s input to improve its grasp of the structural characteristics of code. Leveraging the expert knowledge: Software vulnerabilities do not exist in isolation. The Common Weakness Enumeration (CWE) system [11] offers a comprehensive catalog of common software weakness types. By utilizing the CWE system, one may gain access to accurate descriptions, vulnerable code examples, and information on closely related vulnerabilities pertaining to specific vulnerability types. In order to tap into the expert knowledge provided by the CWE system, both VRepair [ 9] and VulRepair [ 19] incorporate CWE types into their inp"
RepairCAT,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/RepairCAT Applying Large Language Model to Fix Bugs in AI-Generated Programs..pdf,leakage,,
RepairCAT,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/RepairCAT Applying Large Language Model to Fix Bugs in AI-Generated Programs..pdf,extra_validation,,
RepairLLaMA,Fine-Tuning Approaches/Parameter-Efficient Fine-Tuning/Repairllama Efficient representations and fine-tuned adapters  for program repair..pdf,leakage,5,"ult localization information. Table 1 provides the list of the code representation pairs that are studied in this paper. Each row corresponds to a code representation pair. Column FL indicates whether the pair includes or not fault localization information. Column Aligned w/ PT provides a relative assessment of the alignment of the representation w.r.t. the pre-training data/objective. A red cross means that the code representation is not aligned with the pre- training data and objective. The left side shows the input and the right the output representations. Column Buggy Code indicates whether the pair includes or not the original buggy code. The first three rows (i.e., IR1xOR1, IR1xOR3, IR1xOR4) include code representation pairs that do not contain fault localization signals. The input is the same across all pairs (IR1), whereas the output can either be the full fixed function (OR1)"
RepairLLaMA,Fine-Tuning Approaches/Parameter-Efficient Fine-Tuning/Repairllama Efficient representations and fine-tuned adapters  for program repair..pdf,leakage,6,"manEval-Java is a bug benchmark containing artificial bugs inserted in Hu- manEval [35] Java programs. HumanEval-Java contains 162 single-function bugs. GitBug-Java is a bug benchmark of recent bugs, collected from the 2023 commit history of 55 open-source repositories, comprising 90 single-function bugs. Contrary to Defects4J, GitBug-Java suffers from less data leakage in the pre-training data since all bugs are much more recent than Defects4J. Notably, GitBug-Java exclusively contains bugs from after the training data cutoff date of all models used in our experiments: CodeLlama-7b (September 2022) [24], gpt-4-0613 (September 2021) 2, and gpt-3.5-turbo-0613 (September 2021) 2. Fine-T uning Hyperparameters We fine-tune CodeLLaMA with LoRA for each of our curated code representations with the same hyper-parameter settings: we set the learning rate to 5e-4 with cosine decay, max"
RepairLLaMA,Fine-Tuning Approaches/Parameter-Efficient Fine-Tuning/Repairllama Efficient representations and fine-tuned adapters  for program repair..pdf,leakage,6,"g benchmark containing artificial bugs inserted in Hu- manEval [35] Java programs. HumanEval-Java contains 162 single-function bugs. GitBug-Java is a bug benchmark of recent bugs, collected from the 2023 commit history of 55 open-source repositories, comprising 90 single-function bugs. Contrary to Defects4J, GitBug-Java suffers from less data leakage in the pre-training data since all bugs are much more recent than Defects4J. Notably, GitBug-Java exclusively contains bugs from after the training data cutoff date of all models used in our experiments: CodeLlama-7b (September 2022) [24], gpt-4-0613 (September 2021) 2, and gpt-3.5-turbo-0613 (September 2021) 2. Fine-T uning Hyperparameters We fine-tune CodeLLaMA with LoRA for each of our curated code representations with the same hyper-parameter settings: we set the learning rate to 5e-4 with cosine decay, max input length to 1024 3, tra"
RepairLLaMA,Fine-Tuning Approaches/Parameter-Efficient Fine-Tuning/Repairllama Efficient representations and fine-tuned adapters  for program repair..pdf,leakage,11,"ler models. Although fine- tuning requires task-specific datasets and more computation resources, methods like LoRA help mitigate these costs. While both approaches have advantages, our results confirm the effectiveness of fine-tuning in achieving good perfor- mance in program repair. 5.4 Threats to Validity The primary internal threat lies in the potential data leakage during the pre-training phase of LLMs. LLMs are pre- trained on vast corpora scrapped from the web, potentially including the same data used for testing, endangering the reliability of experimental results. To mitigate this threat, we assess all models on two recent benchmarks specifically de- signed to address the data leakage issue [44], HumanEval- Java [8] and GitBug-Java [23]. Another internal threat pertains to data leakage dur- ing the fine-tuning process of LLMs, since both our fine- tuning dataset, Mega"
RepairLLaMA,Fine-Tuning Approaches/Parameter-Efficient Fine-Tuning/Repairllama Efficient representations and fine-tuned adapters  for program repair..pdf,leakage,11,"threat lies in the potential data leakage during the pre-training phase of LLMs. LLMs are pre- trained on vast corpora scrapped from the web, potentially including the same data used for testing, endangering the reliability of experimental results. To mitigate this threat, we assess all models on two recent benchmarks specifically de- signed to address the data leakage issue [44], HumanEval- Java [8] and GitBug-Java [23]. Another internal threat pertains to data leakage dur- ing the fine-tuning process of LLMs, since both our fine- tuning dataset, Megadiff, and Defects4J contain samples [[PAGE 12]] 12 from GitHub from the same period of time. To address this threat, we meticulously compare the samples in our fine- tuning dataset, Megadiff, with those in Defects4J. We found no identical samples shared by both datasets. However, it is worth noting that there are three samples"
