record_id,title,year,venue,doi,final_reference_decision,audit_coder_a_decision,audit_coder_b_raw_decision,audit_coder_b_after_adjudication_decision,audit_coder_a_b_raw_match,audit_coder_b_after_adjudication_matches_final,adjudication_note
S5-049,Automated C/C++ Program Repair for High-Level Synthesis via Large Language Models,2024,Workshop on Machine Learning for CAD,10.1145/3670474.3685953,exclude,exclude,exclude,exclude,true,true,
S5-050,Automated Code Repair for C/C++ Static Analysis Alerts,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-051,Automated Detection and Repair of Floating-point Precision Problems in Convolutional Neural Network Operators,2025,TOSEM,10.1145/3715104,exclude,exclude,exclude,exclude,true,true,
S5-052,Automated Inline Comment Smell Detection and Repair with Large Language Models,2025,ASE 2025,https://www.researchgate.net/publication/395359325_Automated_Inline_Comment_Smell_Detection_and_Repair_with_Large_Language_Models,exclude,exclude,exclude,exclude,true,true,
S5-053,Automated Mechanism to Support Trade Transactions in Smart Contracts with Upgrade and Repair,2025,arXiv,10.1016/j.bcra.2025.100285,exclude,exclude,exclude,exclude,true,true,
S5-054,Automated Program Repair Based on REST API Specifications Using Large Language Models,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-055,Automated Program Repair: Emerging trends pose and expose problems for benchmarks,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-056,Automated Program Repair from Fuzzing Perspective,2023,ISSTA 2023,10.1145/3597926.3598101,exclude,exclude,exclude,exclude,true,true,
S5-057,Automated Program Repair in the Era of Large Pre-trained Language Models,2023,ICSE 2023,,include,include,include,include,true,true,
S5-058,Automated Program Repair of Uncompilable Student Code,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-059,Automated Program Repair via Conversation: Fixing 162 out of 337 Bugs for $0.42 Each using ChatGPT,2024,ISSTA 2024,10.1145/3650212.3680323,include,include,include,include,true,true,
S5-060,"Automated Program Repair, What Is It Good For? Not Absolutely Nothing!",2024,ICSE 2024,10.1145/3597503.3639095,exclude,exclude,exclude,exclude,true,true,
S5-061,Automated Repair of AI Code with Large Language Models and Formal Verification,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-062,Automated Repair of Ambiguous Problem Descriptions for LLM-Based Code Generation,2025,ASE 2025,,exclude,exclude,exclude,exclude,true,true,
S5-063,Automated Repair of Programs from Large Language Models,2023,ICSE 2023,,include,include,include,include,true,true,
S5-064,Automated Repair of Cyber-Physical Systems,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-065,Automated Repair of Declarative Software Specifications in the Era of Large Language Models,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-066,Automated Repair of Neural Networks,2022,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-067,Automated Repair of OpenID Connect Programs,2025,ASE 2025,,exclude,exclude,exclude,exclude,true,true,
S5-068,Automated Test Case Repair Using Language Models,2025,TSE,10.1109/tse.2025.3541166,exclude,exclude,exclude,exclude,true,true,
S5-069,Automated Vulnerability Repair of Obfuscated and Non-Obfuscated Smart Contracts Using Large Language Models,2025,Pacific Rim International Symposium on Dependable Computing,10.1109/prdc67299.2025.00030,exclude,exclude,exclude,exclude,true,true,
S5-070,Automatic Repair of Quantum Programs via Unitary Operation,2024,TOSEM,10.1145/3664604,exclude,exclude,exclude,exclude,true,true,
S5-071,Automating Android Build Repair: Bridging the Reasoning-Execution Gap in LLM Agents with Domain-Specific Tools,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-072,Automating Patch Set Generation from Code Review Comments Using Large Language Models,2024,arXiv,10.1145/3644815.3644981,exclude,exclude,exclude,exclude,true,true,
S5-073,AutoRepair: Automated Repair for AI-Enabled Cyber-Physical Systems under Safety-Critical Conditions,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-074,BehaviorGPT: Smart Agent Simulation for Autonomous Driving with Next-Patch Prediction,2024,NeurIPS 2024,,exclude,exclude,exclude,exclude,true,true,
S5-075,Benchmark Dataset Generation and Evaluation for Excel Formula Repair with LLMs,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-076,Benchmarking Automated Program Repair: An Extensive Study on Both Real-World and Artificial Bugs,2024,ISSTA 2024,10.1145/3650212.3652140,exclude,exclude,exclude,exclude,true,true,
S5-077,Benchmarking Educational Program Repair,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-078,Better Automatic Program Repair by Using Bug Reports and Tests Together,2023,ICSE 2023,https://people.cs.umass.edu/~brun/pubs/pubs/Motwani23icse.pdf,exclude,exclude,exclude,exclude,true,true,
S5-079,Beyond Accuracy: Behavioral Dynamics of Agentic Multi-Hunk Repair,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-080,Beyond SWE-Bench: A Compiler-Assisted Pipeline for Multi-language Automated Program Repair,2025,Mexican International Conference on Artificial Intelligence,10.1007/978-3-032-09044-7_9,exclude,exclude,exclude,exclude,true,true,
S5-081,Bifrost-1: Bridging Multimodal LLMs and Diffusion Models with Patch-level CLIP Latents,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-082,Boosting Open-Source LLMs for Program Repair via Reasoning Transfer and LLM-Guided Reinforcement Learning,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-083,"BRAFAR: Bidirectional Refactoring, Alignment, Fault Localization, and Repair for Programming Assignments",2024,ISSTA 2024,10.1145/3650212.3680326,exclude,exclude,exclude,exclude,true,true,
S5-084,"Bugfix: a standard language, database schema and repository for research on bugs and automatic program repair",2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-085,BUGFIX: towards a common language and framework for the AutomaticProgram Repair community,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-086,BUGSPHP: A dataset for Automated Program Repair in PHP,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-087,Calculating the I/O Cost of Linear Repair Schemes for RS Codes Evaluated on Subspaces via Exponential Sums,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-088,Can LLMs Patch Security Issues?,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-089,Can we learn from developer mistakes? Learning to localize and repair real bugs from real bug fixes,2022,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-090,CCISolver: End-to-End Detection and Repair of Method-Level Code-Comment Inconsistency,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-091,"Cedar: A New Language for Expressive, Fast, Safe, and Analyzable Authorization (Extended Version)",2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-092,cedar: Optimized and Unified Machine Learning Input Data Pipelines,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-093,CEDAR: Silent Control Flow Error Detection via Heterogeneous Relation Learning,2025,TSE,10.1109/tse.2025.3618552,exclude,exclude,exclude,exclude,true,true,
S5-094,Challenging Bug Prediction and Repair Models with Synthetic Bugs,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-095,"Characterizing Multi-Hunk Patches: Divergence, Proximity, and LLM Repair Challenges",2025,ASE 2025,https://arxiv.org/pdf/2506.04418,exclude,exclude,exclude,exclude,true,true,
S5-096,Checker Bug Detection and Repair in Deep Learning Libraries,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-097,CigaR: Cost-efficient Program Repair with LLMs,2024,arXiv.org,10.48550/arxiv.2402.06598,exclude,exclude,include,exclude,false,true,coder-B-only inclusion; adjudicated as not retained in the core corpus
S5-098,CIRCLE: Continual Repair across Programming Languages,2022,ISSTA 2022,10.1145/3533767.3534219,exclude,exclude,exclude,exclude,true,true,
S5-099,CirFix: Automated Hardware Repair and its Real-World Applications,2023,TSE,10.1109/tse.2023.3269899,exclude,exclude,exclude,exclude,true,true,
S5-100,CME propagation in the dynamically coupled space weather tool: COCONUT + EUHFORIA,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-101,COCONUT: A time-evolving coronal model with an energy decomposition strategy,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-102,Coconut: Contextualized Commonsense Unified Transformers for Graph-Based Commonsense Augmentation of Language Models,2024,ACL 2024,,exclude,exclude,exclude,exclude,true,true,
S5-103,Coconut Libtool: Bridging Textual Analysis Gaps for Non-Programmers,2024,arXiv,10.1002/pra2.1072,exclude,exclude,exclude,exclude,true,true,
S5-104,COCONut: Modernizing COCO Segmentation,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-105,Coconut Palm Tree Counting on Drone Images with Deep Object Detection and Synthetic Training Data,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-106,COCONut-PanCap: Joint Panoptic Segmentation and Grounded Captions for Fine-Grained Understanding and Generation,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-107,CoCoNUT: Structural Code Understanding does not fall out of a tree,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-108,Code Repair with LLMs gives an Exploration-Exploitation Tradeoff,2024,NeurIPS 2024,,include,include,include,include,true,true,
S5-109,Code Security Vulnerability Repair Using Reinforcement Learning with Large Language Models,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-110,Code Vulnerability Repair with Large Language Model using Context-Aware Prompt Tuning,2024,arXiv,10.1109/spw67851.2025.00040,exclude,exclude,exclude,exclude,true,true,
S5-111,CodeCureAgent: Automatic Classification and Repair of Static Analysis Warnings,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-112,CodeR3: A GenAI-Powered Workflow Repair and Revival Ecosystem,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-113,Collaborative Agents for Automated Program Repair in Ruby,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-114,Combining Logic with Large Language Models for Automatic Debugging and Repair of ASP Programs,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-115,Comprehensive Fine-Tuning Large Language Models of Code for Automated Program Repair,2025,TSE,10.1109/tse.2025.3532759,exclude,exclude,exclude,exclude,true,true,
S5-116,Computation Tree Logic Guided Program Repair,2025,TSE,10.1109/tse.2025.3625772,exclude,exclude,exclude,exclude,true,true,
S5-117,ConDefects: A Complementary Dataset to Address the Data Leakage Concern for LLM-Based Fault Localization and Program Repair,2024,SIGSOFT FSE Companion,10.1145/3663529.3663815,exclude,exclude,exclude,exclude,true,true,
S5-118,Constraining the inner boundaries of COCONUT through plasma \b{eta} and Alfvén speed,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-119,Constraint Based Program Repair for Persistent Memory Bugs,2024,ICSE 2024,,exclude,exclude,exclude,exclude,true,true,
S5-120,Construction of Locally Repairable Array Codes with Optimal Repair Bandwidth under the Rack-Aware Storage Model,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-121,Context-Aware Code Change Embedding for Better Patch Correctness Assessment,2022,TOSEM,10.1145/3505247,exclude,exclude,exclude,exclude,true,true,
S5-122,Context-based Transfer Learning for Structuring Fault Localization and Program Repair Automation,2024,TOSEM,10.1145/3705302,exclude,exclude,exclude,exclude,true,true,
S5-123,ContractTinker: LLM-Empowered Vulnerability Repair for Real-World Smart Contracts,2024,arXiv,10.1145/3691620.3695349,exclude,exclude,exclude,exclude,true,true,
S5-124,ContrastRepair: Enhancing Conversation-Based Automated Program Repair via Contrastive Test Case Pairs,2025,TOSEM,10.1145/3719345,include,include,include,include,true,true,
S5-125,Conversational Automated Program Repair,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-126,Copiloting the Copilots: Fusing Large Language Models with Completion Engines for Automated Program Repair,2023,FSE 2023,https://arxiv.org/pdf/2309.00608.pdf,include,include,include,include,true,true,
S5-127,Counterexample Guided Program Repair Using Zero-Shot Learning and MaxSAT-based Fault Localization,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-128,CraftRTL: High-quality Synthetic Data Generation for Verilog Code Models with Correct-by-Construction Non-Textual Representations and Targeted Code Repair,2025,ICLR 2025,https://openreview.net/forum?id=8KQzoD5XAr,exclude,exclude,exclude,exclude,true,true,
S5-129,CREF: An LLM-Based Conversational Software Repair Framework for Programming Tutors,2024,ISSTA 2024,10.1145/3650212.3680328,include,include,include,include,true,true,
S5-130,"CURE: Cultural Understanding and Reasoning Evaluation - A Framework for ""Thick"" Culture Alignment Evaluation in LLMs",2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-131,D4C: Data-free Quantization for Contrastive Language-Image Pre-training Models,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-132,D4C: Improving Negative Example Quality to Enhance Machine Abstract Reasoning Ability,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-133,DEAR: A Novel Deep Learning-based Approach for Automated Program Repair,2022,ICSE 2022,https://arxiv.org/pdf/2205.01859.pdf,exclude,exclude,exclude,exclude,true,true,
S5-134,Deep learning classification system for coconut maturity levels based on acoustic signals,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-135,Defects4C: Benchmarking Large Language Model Repair Capability with C/C++ Bugs,2025,ASE 2025,https://arxiv.org/abs/2510.11059,exclude,exclude,exclude,exclude,true,true,
S5-136,Demystifying LLM-based Software Engineering Agents,2025,FSE 2025,10.1145/3715754,include,include,include,include,true,true,
S5-137,Demystifying Memorization in LLM-based Program Repair via a General Hypothesis Testing Framework,2025,FSE 2025,10.1145/3729390,exclude,exclude,exclude,exclude,true,true,
S5-138,Detection of Adulteration in Coconut Milk using Infrared Spectroscopy and Machine Learning,2025,arXiv,10.1109/mticti53925.2021.9664764,exclude,exclude,exclude,exclude,true,true,
S5-139,Diffusion is a code repair operator and generator,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-140,Dissecting the SWE-Bench Leaderboards: Profiling Submitters and Architectures of LLM- and Agent-Based Repair Systems,2025,arXiv.org,10.48550/arxiv.2506.17208,exclude,exclude,exclude,exclude,true,true,
S5-141,DNA-DetectLLM: Unveiling AI-Generated Text via a DNA-Inspired Mutation-Repair Paradigm,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-142,Do Cure Violence Programs Reduce Gun Violence? Evidence from New York City,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-143,DPO-F+: Aligning Code Repair Feedback with Developers' Preferences,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-144,DrPlanner: Diagnosis and Repair of Motion Planners for Automated Vehicles Using Large Language Models,2024,arXiv,10.1109/lra.2024.3441493,exclude,exclude,exclude,exclude,true,true,
S5-145,Early Diagnosis and Severity Assessment of Weligama Coconut Leaf Wilt Disease and Coconut Caterpillar Infestation using Deep Learning-based Image Processing Techniques,2025,arXiv,10.1109/access.2025.3537664,exclude,exclude,exclude,exclude,true,true,
S5-146,Easy repair via codes with simplex locality,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-147,Efficient magnetohydrodynamic modelling of the time-evolving corona by COCONUT,2024,arXiv,10.1051/0004-6361/202452279,exclude,exclude,exclude,exclude,true,true,
S5-148,"Efficient Repair of (k+2, k) Degraded Read Friendly MDS Array Codes With Sub-packetization 2",2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-149,Element-Based Automated DNN Repair with Fine-Tuned Masked Language Model,2025,FSE 2025,10.1145/3715716,exclude,exclude,exclude,exclude,true,true,
S5-150,Emergence of Internal State-Modulated Swarming in Multi-Agent Patch Foraging System,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-151,Empirical Evaluation of Generalizable Automated Program Repair with Large Language Models,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-152,Empirical Study of Code Large Language Models for Binary Security Patch Detection,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-153,Enhanced Automated Code Vulnerability Repair using Large Language Models,2024,arXiv,10.1016/j.engappai.2024.109291,exclude,exclude,exclude,exclude,true,true,
S5-154,Enhancing Automated Program Repair through Fine-tuning and Prompt Engineering,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-155,Enhancing Automated Program Repair via Faulty Token Localization and Quality-Aware Patch Refinement,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-156,Enhancing Automated Program Repair with Solution Design,2024,ASE 2024,,exclude,exclude,exclude,exclude,true,true,
S5-157,Enhancing repository-level software repair via repository-aware knowledge graphs,2025,arXiv,,include,include,include,include,true,true,
S5-158,Enhancing Security in Third-Party Library Reuse -- Comprehensive Detection of 1-day Vulnerability through Code Patch Analysis,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-159,Enhancing the Efficiency of Automated Program Repair via Greybox Analysis,2024,ASE 2024,,exclude,exclude,exclude,exclude,true,true,
S5-160,EntroPE: Entropy-Guided Dynamic Patch Encoder for Time Series Forecasting,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-161,Evaluating Agent-Based Program Repair at Google,2025,2025 IEEE/ACM 47th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),10.1109/icse-seip66354.2025.00038,exclude,exclude,exclude,exclude,true,true,
S5-162,"Evaluating Software Development Agents: Patch Patterns, Code Quality, and Issue Complexity in Real-World GitHub Scenarios",2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-163,Evaluating the Generalizability of LLMs in Automated Program Repair,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-164,Evaluation of a photonic lantern spatial demultiplexer based receiver for optical communication,2024,arXiv,10.1364/ol.542129,exclude,exclude,exclude,exclude,true,true,
S5-165,Execution-free Program Repair,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-166,EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-167,Experimental and on-sky demonstration of spectrally dispersed wavefront sensing using a photonic lantern,2025,arXiv,10.1364/ol.551624,exclude,exclude,exclude,exclude,true,true,
S5-168,Experimental validation of photonic lantern imaging and wavefront sensing performance,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-169,Exploring and Lifting the Robustness of LLM-powered Automated Program Repair with Metamorphic Testing,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-170,Exploring Experiences with Automated Program Repair in Practice,2024,ICSE 2024,,exclude,exclude,exclude,exclude,true,true,
S5-171,Exploring Parameter-Efficient Fine-Tuning of Large Language Model on Automated Program Repair,2024,ASE 2024,,include,include,include,include,true,true,
S5-172,Exploring the Potential of Conversational Test Suite Based Program Repair on SWE-bench,2024,arXiv.org,10.48550/arxiv.2410.04485,exclude,exclude,exclude,exclude,true,true,
S5-173,Fault Localisation and Repair for DL Systems: An Empirical Study with LLMs,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-174,FeedbackEval: A Benchmark for Evaluating Large Language Models in Feedback-Driven Code Repair Tasks,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-175,Fine-Grained 1-Day Vulnerability Detection in Binaries via Patch Code Localization,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-176,Fix the Tests: Augmenting LLMs to Repair Test Cases with Static Collector and Neural Reranker,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-177,"Fixing 7,400 Bugs for 1$: Cheap Crash-Site Program Repair",2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-178,FlakyFix: Using Large Language Models for Predicting Flaky Test Fix Categories and Test Code Repair,2024,TSE,10.1109/tse.2024.3472476,exclude,exclude,exclude,exclude,true,true,
S5-179,Forecasting Time Series with LLMs via Patch-Based Prompting and Decomposition,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-180,From Benchmark Data To Applicable Program Repair: An Experience Report,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-181,"From Defects to Demands: A Unified, Iterative, and Heuristically Guided LLM-Based Framework for Automated Software Repair and Requirement Realization",2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-182,From Failures to Fixes: LLM-Driven Scenario Repair for Self-Evolving Autonomous Driving,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-183,From LLMs to Agents: A Comparative Evaluation of LLMs and LLM-based Agents in Security Patch Detection,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-184,Fusion of Minutia Cylinder Codes and Minutia Patch Embeddings for Latent Fingerprint Recognition,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
