system,benchmark_family,benchmark,coder_1_primary_paradigm,coder_1_control_subparadigm,coder_1_retrieval_tag,coder_1_analysis_tag,coder_1_primary_scenario,coder_1_evidence_location,coder_1_rationale,coder_2_primary_paradigm,coder_2_control_subparadigm,coder_2_retrieval_tag,coder_2_analysis_tag,coder_2_primary_scenario,coder_2_evidence_location,coder_2_rationale,adjudicated_primary_paradigm,adjudicated_control_subparadigm,adjudicated_retrieval_tag,adjudicated_analysis_tag,adjudicated_primary_scenario,adjudicator,adjudication_basis,notes
SecRepair,Other,InstructVul,Fine-Tuning,RLFT,no,yes,Vulnerability repair,Abstract  Section 3.2,是通过强化学习（RL）对 CodeGen2 模型进行后训练优化。,Fine-Tuning,RLFT,no,yes,Vulnerability repair,Abstract  Section 3.2,通过强化学习（RL）对 CodeGen2 架构进行针对安全漏洞修复的后训练优化,,,,,,,,
SWE-RL,SWE-bench Verified,SWE-bench Verified,Fine-Tuning,RLFT,no,yes,Repository-level issue resolution,Abstract  Section 2.1 (Reward Modeling) Section 3.1 (Experimental Setup),采用了 GRPO (Group Relative Policy Optimization) 算法对 Llama 3 进行后训练优化。,Fine-Tuning,RLFT,no,yes,Repository-level issue resolution,Abstract (Reward Modeling) (Experimental Setup),引入 GRPO 算法对 Llama 3 进行后训练优化，专注于解决大规模仓库级 issue,,,,,,,,
AdaPatcher,Other,ACPR,Fine-Tuning,RLFT,no,yes,Localized benchmark repair,Abstract Section 3.2,通过偏好学习（Preference Learning对模型进行微调，使其在保证修复正确性的同时，偏好生成修改量更小的补丁以维持代码一致性。,Fine-Tuning,RLFT,no,yes,Localized benchmark repair,Abstract Section 3.2,通过偏好学习进行微调，使模型倾向于生成保证正确性且修改量最小的补丁。,,,,,,,,
Vul-R2,Vulnerability repair datasets,PrimeVul,Fine-Tuning,RLFT,no,yes,Vulnerability repair,Abstract Section 3,通过强化学习对大模型进行后训练，使其具备修复漏洞的推理能力。,Fine-Tuning,RLFT,no,yes,Vulnerability repair,Abstract Section 3,通过强化学习对大模型进行后训练，强化其在缺陷修复场景下的推理能力。,,,,,,,,
TraceFixer,Other,CodeNet,Fine-Tuning,Context-Enriched,no,yes,Localized benchmark repair,Abstract,Section 2.2，TraceFixer 利用**执行轨迹（Execution Traces）**和程序状态作为输入上下文，对预训练的 seq2seq 模型（如 CodeT5）进行微调。,Fine-Tuning,Context-Enriched,no,yes,Localized benchmark repair,Abstract,Section 2.2，TraceFixer 借助于**执行轨迹（Execution Traces）**和代码状态作为输入上下文，对预训练的 seq2seq 架构（如 CodeT5）进行微调。,,,,,,,,
InferFix,Other,InferredBugs,Fine-Tuning,Context-Enriched,yes,yes,Industrial / practitioner workflow,Section 3  Figure 2,结合了Retriever，和 Infer 静态分析器，并对 Codex 模型进行了针对性的微调,Fine-Tuning,Context-Enriched,yes,yes,Industrial / practitioner workflow,Section 3  Figure 2,结合检索器与 Infer 静态分析器，对 Codex 架构进行针对工业工作流的微调,,,,,,,,
PyTy,Other,PyTyDefects,Fine-Tuning,Context-Enriched,no,yes,Localized benchmark repair,Abstract,Section 3.1，PyTy 专注于修复 Python 的静态类型错误，通过将 mypy 诊断信息作为输入上下文来微调 CodeT5 模型。,Fine-Tuning,Context-Enriched,no,yes,Localized benchmark repair,Abstract,Section 3.1，PyTy 将 mypy 诊断出的静态类型错误信息作为输入上下文来微调 CodeT5 模型。,,,,,,,,
NTR,HumanEval-Java,HumanEval-Java,Fine-Tuning,Context-Enriched,no,no,Localized benchmark repair,Abstract Section 3,NTR 将修复模板标识符作为控制 token 注入输入序列训练。,Fine-Tuning,Context-Enriched,no,no,Localized benchmark repair,Abstract Section 3,将改进模板标识符作为控制 Token 注入输入序列进行训练，无需外部检索。,,,,,,,,
AlphaRepair,Defects4J,Defects4J v1.2/2.0,Prompting,Zero-Shot,no,yes,Localized benchmark repair,Abstract  Section 3,首个利用预训练模型进行零样本（Zero-Shot）修复的方法。它将代码修复任务转换为掩码填充。,Prompting,Zero-Shot,no,yes,Localized benchmark repair,Abstract  Section 3,将修复任务转换为掩码填充任务，直接利用预训练模型进行零样本修复。,,,,,,,,
Prenner et al.,Other,Quixbugs,Prompting,Few-Shot,no,no,Localized benchmark repair,Section 3.1,Section 4该研究主要评估了早期 LLM（如 OpenAI Codex）在少样本Few-Shot提示下的修复能力,Prompting,Few-Shot,no,no,Localized benchmark repair,Section 3.1,Section 4，评估早期 LLM 在少样本（Few-Shot）提示下的代码改进效能。,,,,,,,,
Fan et al.,Other,LMDefects,Prompting,Zero-Shot,no,yes,Localized benchmark repair,Abstract Section 3.1 Section 3.2,利用预训练模型的生成能力进行零样本提示（Zero-Shot Prompting），无需微调模型参数。其分析标签为 yes 是因为它显式利用了故障定位,Prompting,Zero-Shot,no,yes,Localized benchmark repair,Abstract Section 3.1 Section 3.2,利用预训练架构进行零样本提示，并显式结合故障定位信息,,,,,,,,
Tian et al.,Other,LeetCode,Prompting,Zero-Shot,no,no,Localized benchmark repair,Abstract Section 3,评估了 ChatGPT 在没有针对性微调的情况下，通过**直接提示（Prompting）**修复代码的能力。,Prompting,Zero-Shot,no,no,Localized benchmark repair,Abstract Section 3,评估 ChatGPT 在无微调情况下通过直接指令提示改进代码的性能。,,,,,,,,
Xia et al.,Defects4J,Defects4J v1.2,Prompting,Few-Shot,no,yes,Localized benchmark repair,Abstract Section 3.1 Section 3.2,直接通过提示（Prompting）大型预训练模型进行程序修复。其核心方法（AlphaRepair）采用少样本掩码填充范式,Prompting,Few-Shot,no,yes,Localized benchmark repair,Abstract Section 3.1 Section 3.2,采用少样本掩码填充机制，通过提示词引导大模型填充修复后的代码,,,,,,,,
Gao et al.,Other,B2F small,Prompting,Few-Shot,yes,no,Localized benchmark repair,Abstract Section 3.2,通过优化提示词（Prompting）中的上下文示例来提升模型性能；其核心方法是基于相似度从语料库中检索（Retrieval）高质量的少样本（Few-Shot）示例作为演示,Prompting,Few-Shot,yes,no,Localized benchmark repair,Abstract Section 3.2,基于相似度从语料库中检索高质量示例作为 Prompt 中的演示（Few-Shot）。,,,,,,,,
Ahmed et al.,Other,MODIT,Prompting,Few-Shot,yes,no,Localized benchmark repair,Abstract Section II-A,该论文通过 Few-Shot 提示词引导模型生成包含 Commit Message 的推理路径,Prompting,Few-Shot,yes,no,Localized benchmark repair,Abstract Section II-A,通过检索机制获取相关上下文，引导架构生成包含提交信息的推理路径。,,,,,,,,
CEDAR,Other,ATLAS,Prompting,Few-Shot,yes,no,Localized benchmark repair,Abstract,Section 1，Section 3，核心在于通过检索（Retrieval）机制从示例池中自动选择与当前任务最相似的代码片段，以此构建少样本（Few-Shot）提示词来引导大模型,Prompting,Few-Shot,yes,no,Localized benchmark repair,Abstract,Section 1，Section 3，核心在于通过检索机制自动选择相似代码片段构建少样本提示词。,,,,,,,,
Ehsani et al.,Other,BugsInPy,Prompting,Tool-Augmented,yes,yes,Vulnerability repair,Abstract,该方法通过预定义的修复模板引导检索（Retrieval）过程，从代码库中提取相似的漏洞修复补丁作为参考上下文，并将其喂给大模型以生成最终补丁。,Prompting,Tool-Augmented,yes,yes,Vulnerability repair,Abstract,通过模板引导检索相似缺陷补丁，并将参考上下文喂给模型生成修复方案。,,,,,,,,
RLCE,Other,RepoBugs,Prompting,Context-Enriched Prompting,yes,yes,Vulnerability repair,RLCE 框架,它是一个静态代码分析工具（Analysis），能够解析仓库结构并显式检索（Retrieval）与缺陷相关的跨文件上下文（如 EIF 定义、调用者片段等）来增强提示词,Prompting,Context-Enriched Prompting,yes,yes,Vulnerability repair,RLCE 框架,利用分析工具解析仓库结构，检索跨文件上下文（EIF 定义等）以优化提示词。,,,,,,,,
DsRepair,Other,DS-1000,Prompting,Tool-Augmented,yes,yes,Vulnerability repair,Abstract,该研究通过 RAG 技术从专门构建的知识图谱（DS-KG）中检索 API 知识，并利用 AST 静态分析在节点级别进行错误定位,Prompting,Tool-Augmented,yes,yes,Vulnerability repair,Abstract,通过 RAG 从知识图谱检索 API 知识，并结合 AST 静态分析进行错误定位。,,,,,,,,
D4C,Defects4J,Defects4J v1.2/2.0,Prompting,Zero-Shot,no,yes,Localized benchmark repair,Abstract,D4C 的设计中，提示词仅包含指令 (Instruction)、整个故障函数 (Buggy Function) 以及失败的测试用例及输出,Prompting,Zero-Shot,no,yes,Localized benchmark repair,Abstract,提示词包含指令、故障函数及测试失败输出，属于不带示例的直接提示,,,,,,,,
Appatch,Vulnerability repair datasets,Zero-Day,Prompting,Tool-Augmented,yes,yes,Vulnerability repair,通过程序切片剔除无关代码,并根据漏洞根因动态检索,Prompting,Tool-Augmented,yes,yes,Vulnerability repair,通过代码切片剔除噪声,并根据缺陷根因动态检索相关代码块。,,,,,,,,
TracePrompt,HumanEval-Java,HumanEval-Java,Prompting,Context-Enriched Prompting,no,yes,Vulnerability repair,提示词中加入程序执行轨迹（Execution Traces）这一动态分析产物来增强大模型（如 GPT-4）的修复能力 。,,Prompting,Context-Enriched Prompting,no,yes,Vulnerability repair,在提示词中加入执行轨迹这一动态分析产物,以增强模型的诊断与修复能力。,,,,,,,,
ChatRepair,Defects4J,Defects4J v1.2/2.0,Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,ChatRepair Abstract 的运作模式展示了如何通过结构化的程序逻辑将通用的对话模型（如 ChatGPT）转化为高效的修复工具,,Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,ChatRepair Abstract,通过结构化的脚本逻辑将模型嵌入到测试反馈循环中，步骤由硬编码控制。,,,,,,,,
ThinkRepair,Defects4J,Defects4J v1.2/2.0,Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,Section 6.1 (ThinkRepair subsection)其所有的循环条件、超时逻辑和数据交换都是由脚本硬编码预设的,而非由模型自主规划,Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,Section 6.1 (ThinkRepair subsection),循环条件、超时处理及数据交换均由脚本预设，而非模型动态规划。,,,,,,,,
REx,Other,LoopInv,Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,Abstract,其所有的循环条件、超时逻辑和数据交换都是由脚本硬编码预设的，而非由模型自主规划,Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,Abstract,遵循预设的逻辑路径进行迭代，属于由外部程序控制的自动化流程。,,,,,,,,
ContrastRepair,HumanEval-Java,HumanEval-Java,Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,Abstract,利用对话机制将测试失败的反馈（Traceback）实时喂回 ChatGPT，并将测试套件作为迭代先知引导修复。,Procedural,Test-in-the-Loop,no,yes,Localized benchmark repair,Abstract,脚本自动将测试失败的 Traceback 反馈给模型，引导固定的迭代过程。,,,,,,,,
CREF,Other,TutorCode,Procedural,Human-in-the-Loop,no,yes,Educational tutoring,Abstract,Figure 8，因为该框架采用了预设的三阶段迭代流程（Step 1-3），每一步的输入组合（如先喂辅导建议，再喂解决方案描述，最后喂测试失败信息）是由脚本逻辑硬编码确定的，模型仅在给定步骤下生成代码，并不自主规划修复策略,Procedural,Human-in-the-Loop,no,yes,Educational tutoring,Abstract,Figure 8，采用预设的三阶段迭代流程（建议、描述、测试），步骤流向由脚本逻辑确定。,,,,,,,,
HULA,Other,Atlassian Jira issues,Procedural,Human-in-the-Loop,yes,yes,Industrial / practitioner workflow,Abstract Section 3 (HULA Framework),在运行时通过 LLM 生成编码计划（coding plans）并调用工具来自动解决软件开发任务。,Procedural,Human-in-the-Loop,yes,yes,Industrial / practitioner workflow,Abstract Section 3 (HULA Framework),按照预设的流程让 LLM 生成计划并与人协作，整个框架由固定步骤支撑。,,,,,,,,
DRCodePilot,Other,Flink,Procedural,Human-in-the-Loop,yes,yes,Repository-level issue resolution,因为它遵循一个预设的“三阶段框架”（three-stage framework）：设计决策（DR）提取、相关上下文检索、,,Procedural,Human-in-the-Loop,yes,yes,Repository-level issue resolution,遵循严格的三阶段框架（决策提取、上下文检索、修复）,各阶段由程序衔接。,,,,,,,,
Agentless,SWE-bench Lite,SWE-bench Lite,Procedural,Context-Enriched Scripted Loop,yes,yes,Repository-level issue resolution,Abstract,Section 3 Overview，采用预先设计的“三阶段流程”（定位、修复、补丁验证），且模型在运行时不决定后续行动或操作复杂工具,Procedural,Context-Enriched Scripted Loop,yes,yes,Repository-level issue resolution,Abstract,Section 3 Overview，名称含Agent，但其实际运行于预设计的固定流程，模型不自主决定后续行动。,,,,,,,,
PATCH,Other,BFP,Agentic,Self-Controlled System,yes,yes,Localized benchmark repair,Abstract,因为它显式模拟了测试人员、开发人员和审查人员三个角色,Procedural,Context-Enriched Scripted Loop,yes,yes,Localized benchmark repair,Abstract,通过固定脚本模拟开发、测试、审查三种角色，按顺序执行,,,,,,,,
KGCompass,SWE-bench Lite,SWE-bench Lite,Procedural,Context-Enriched Scripted Loop,yes,yes,Repository-level issue resolution,Abstract,其核心逻辑是按照预设的脚本将仓库转换为知识图谱，并在每次生成前按固定规则（沿依赖边获取 20 个相关块）扩展检索内容并拼接至 Prompt 中。,Procedural,Context-Enriched Scripted Loop,yes,yes,Repository-level issue resolution,Abstract,核心逻辑是按固定脚本规则将仓库转换为知识图谱,,,,,,,,
Repilot,Defects4J,Defects4J v1.2/2.0,Procedural,Context-Enriched Scripted Loop,yes,yes,Localized benchmark repair,Abstract,LM 与语义补全引擎（Completion Engine）结合，通过外部程序严格控制逐 Token 的生成过程，通过剪枝无效 Token 来引导模型。,Procedural,Context-Enriched Scripted Loop,yes,yes,Localized benchmark repair,Abstract,LM 通过外部语义补全引擎严格控制 Token 生成，属于高度受限的引导生成过程。,,,,,,,,
SAN2PATCH,Vulnerability repair datasets,VulnLoc,Procedural,Context-Enriched Scripted Loop,no,yes,Vulnerability repair,Abstract,阶段“思维树（Tree of Thought）流水线”，其修复步骤（理解、定位、方案、生成）是固定且程序化的。,Procedural,Context-Enriched Scripted Loop,no,yes,Vulnerability repair,Abstract,采用预设的思维树流水线（理解、定位、生成），步骤顺序是代码化的。,,,,,,,,
PredicateFix,Vulnerability repair datasets,CVE,Procedural,Context-Enriched Scripted Loop,yes,yes,Vulnerability repair,Abstract,是因为它由分析器驱动，通过迭代式的检索增强（RAG）逻辑来引导模型生成补丁,Procedural,Context-Enriched Scripted Loop,yes,yes,Vulnerability repair,Abstract,由分析器驱动的迭代式 RAG 逻辑，模型在脚本预设的轨道上生成补丁。,,,,,,,,
LLM4CVE,Vulnerability repair datasets,CVEFixes,Procedural,Test-in-the-Loop,yes,yes,Vulnerability repair,Abstract,因为它采用了一个包含多轮反馈的迭代式漏洞修复循环，其步骤流向是由预设逻辑决定的,Procedural,Test-in-the-Loop,yes,yes,Vulnerability repair,Abstract,引入包含多轮反馈的迭代式修复循环,,,,,,,,
SWE-Agent,SWE-bench Lite,SWE-bench Lite,Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,通过设计专用的 Agent-Computer Interface (ACI) 允许模型自主调用 Shell、编辑器和检索工具来规划并解决复杂的仓库级 GitHub issues。,Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,模型通过 ACI 接口自主调用 Shell、编辑器和检索工具来解决仓库级问题。,,,,,,,,
SWE-Agent M,SWE-bench Other,SWE-bench Multimodal,Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,该研究扩展了 SWE-bench，要求 Agent 必须像人类一样自主规划、使用多模态工具（如查看 UI 截图、GUI 交互）来定位并修复涉及视觉输出的仓库级 Issue。,Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,扩展了多模态能力，Agent 需自主规划并调用视觉工具来修复 GUI 相关 Bug。,,,,,,,,
OpenHands,SWE-bench Lite,SWE-bench Lite,Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,OpenHands 作为一个通用 Agent 框架，允许 LLM 通过 Event Stream 自主规划、调用 Sandbox 环境中的工具（Shell，IPython）来解决复杂的软件工程任务。,Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,OpenHands 作为一个通用 Agent 框架，允许模型通过事件流自主规划并调用沙箱工具。,,,,,,,,
AutoCodeRover,SWE-bench Lite,SWE-bench Lite,Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,采用两阶段设计的自主 Agent 流程：先通过符号检索（Abstract Syntax Tree）进行上下文检索，再结合动态测试验证（Test-in-the-loop）来循环迭代修复方案。,Agentic,Tool-Augmented,yes,yes,Repository-level issue resolution,Abstract,采用自主代理流程，由模型动态决定何时检索符号或何时执行测试验证。,,,,,,,,
RepairAgent,Defects4J,Defects4J v1.2/2.0,Agentic,Tool-Augmented,yes,yes,Localized benchmark repair,Abstract,首个将 APR 视为自主代理任务的工作，LLM 通过自由调用集合好的工具（如测试、检索、编辑）在修复空间内自主循环，而非遵循固定步骤,Agentic,Tool-Augmented,yes,yes,Localized benchmark repair,Abstract,首个将 APR 视为自主代理任务的工作，模型在工具调用中自主循环，不遵循固定步骤。,,,,,,,,
LANTERN,Other,Rust subset of xCodeEval,Agentic,Tool-Augmented,no,yes,Localized benchmark repair,Section 3.2,通过多 Agent 协作（翻译、修复、验证）进行迭代，利用编译器反馈（Analysis）驱动 Agent 自主细化方案，主要解决跨语言转换后的局部修复问题。,Agentic,Tool-Augmented,no,yes,Localized benchmark repair,Section 3.2,利用多 Agent 协作并根据编译器反馈自主决定下一步的细化方案。,,,,,,,,
VulDebugger,Vulnerability repair datasets,50 of ExtractFix and ARVO,Agentic,Tool-Augmented,no,yes,Localized benchmark repair,Section 3 (Methodology: ADebug Overview) and Figure 3,通过 动态执行反馈（如变量值跟踪、执行路径分析）来指导 Agent 的下一步行动,Agentic,Tool-Augmented,no,yes,Localized benchmark repair,Section 3 (Methodology: ADebug Overview) and Figure 3,借助于动态执行反馈引导 Agent 的下一步行动,,,,,,,,
Abstain and Validate,Other,Google,Agentic,LLM-as-Judges,yes,yes,Repository-level issue resolution,Section 3 (Proposed Method) and Figure 1,该方法在 Agentic 流程中引入了双模型机制：一个模型决定是否“弃权”以减少无效尝试，另一个作为 Judge 进行验证（Validate），通过多模型协作来优化自主 Agent 的修复质量。,Agentic,LLM-as-Judges,yes,yes,Repository-level issue resolution,Section 3 (Proposed Method) and Figure 1,引入双模型机制，由模型自主决定弃权或充当 Judge 验证补丁，实现动态协作。,,,,,,,,
TSAPR,Defects4J,Defects4J v1.2/2.0,Agentic,Self-Controlled System,no,yes,Localized benchmark repair,Section 3 (Methodology) and Figure 2,SAPR 将修复过程建模为在状态树上的搜索问题，由 LLM 作为策略和价值网络来自主决定搜索路径（Agentic），并利用测试结果作为外部反馈来引导树搜索。,Agentic,LLM-as-Judges,no,yes,Localized benchmark repair,Section 3 (Methodology) and Figure 2,将修复建模为树搜索，由模型作为策略和价值网络自主决定搜索路径。,,,,,,,,
SpecRover,SWE-bench Lite,SWE-bench Lite,Agentic,LLM-as-Judges,yes,yes,Localized benchmark repair,Section 3,通过 LLM 与静态分析工具（Infer 等）形成闭环，自主地在代码中提取规范（Specs）并进行迭代验证，其核心是一个由 LLM 驱动的自主规范推断与修复代理。,Agentic,LLM-as-Judges,yes,yes,Localized benchmark repair,Section 3,与静态分析工具形成闭环，自主推断代码规范并根据反馈调整修复代理。,,,,,,,,
MAGIS,SWE-bench Lite,SWE-bench Lite,Agentic,LLM-as-Judges,yes,yes,Repository-level issue resolution,Section 4采用多智能体协作架构,通过 Manager、Developer、Reporter 等角色分配任务，其中审稿人角色充当 Judge 来验证 Patch 质量.,Agentic,LLM-as-Judges,yes,yes,Repository-level issue resolution,Section 4采用多智能体协作架构,各角色（Manager，Reviewer 等）在动态流中自主交互,,,,,,,,
SWE-Search,SWE-bench Lite,SWE-bench Lite,Agentic,Self-Controlled System,yes,yes,Repository-level issue resolution,Abstract and Methodology Section,将仓库级 Bug 修复建模为蒙特卡洛树搜索（MCTS）问题，Agent 在树结构中自主探索不同的代码修改和工具调用路径，并利用执行环境的反馈进行迭代细化,Agentic,Self-Controlled System,yes,yes,Repository-level issue resolution,Abstract and Methodology Section,利用 MCTS 算法让 Agent 在树结构中自主探索修改路径，并根据环境反馈进行迭代。,,,,,,,,
Learn-by-Interact,SWE-bench Other,SWE-bench,Agentic,Self-Controlled System,yes,yes,Repository-level issue resolution,Section 3 (Framework Design) and Evaluation Setup,框架的核心在于“以数据为中心”的交互式学习，Agent 在真实环境（如 Shell、文件系统）中通过试错交互收集反馈，利用环境动态执行结果（Analysis）来自主适应并调整后续的解决策略。,Agentic,Self-Controlled System,yes,yes,Repository-level issue resolution,Section 3 (Framework Design) and Evaluation Setup,核心在于交互式学习，Agent 根据环境动态执行结果自主调整其解决策略。,,,,,,,,
