system_a,system_b,benchmark,same_exact_metric,same_metric_family,same_assumption_bucket,same_normalized_base_model,protocol_aligned_window,comparison_window,comparability_tier
ChatRepair,ThinkRepair,Defects4J v1.2/2.0,no,yes,yes,yes,no,None,D_same_benchmark_not_aligned
ChatRepair,Repilot,Defects4J v1.2/2.0,no,yes,no,no,no,None,D_same_benchmark_not_aligned
ChatRepair,RepairAgent,Defects4J v1.2/2.0,no,no,no,yes,no,None,D_same_benchmark_not_aligned
ChatRepair,TSAPR,Defects4J v1.2/2.0,no,yes,no,yes,no,None,D_same_benchmark_not_aligned
ThinkRepair,Repilot,Defects4J v1.2/2.0,no,yes,no,no,no,None,D_same_benchmark_not_aligned
ThinkRepair,RepairAgent,Defects4J v1.2/2.0,no,no,no,yes,no,None,D_same_benchmark_not_aligned
ThinkRepair,TSAPR,Defects4J v1.2/2.0,no,yes,no,yes,no,None,D_same_benchmark_not_aligned
Agentless,KGCompass,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
Agentless,SWE-Agent,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
Agentless,OpenHands,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
Agentless,AutoCodeRover,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
Agentless,SpecRover,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
Agentless,MAGIS,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
Agentless,SWE-Search,SWE-bench Lite,yes,yes,yes,yes,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
KGCompass,SWE-Agent,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
KGCompass,OpenHands,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
KGCompass,AutoCodeRover,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
KGCompass,SpecRover,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
KGCompass,MAGIS,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
KGCompass,SWE-Search,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
Repilot,RepairAgent,Defects4J v1.2/2.0,no,no,no,no,no,None,D_same_benchmark_not_aligned
Repilot,TSAPR,Defects4J v1.2/2.0,no,yes,no,no,no,None,D_same_benchmark_not_aligned
SWE-Agent,OpenHands,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
SWE-Agent,AutoCodeRover,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
SWE-Agent,SpecRover,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
SWE-Agent,MAGIS,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
SWE-Agent,SWE-Search,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
OpenHands,AutoCodeRover,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
OpenHands,SpecRover,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
OpenHands,MAGIS,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
OpenHands,SWE-Search,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
AutoCodeRover,SpecRover,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
AutoCodeRover,MAGIS,SWE-bench Lite,yes,yes,yes,yes,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
AutoCodeRover,SWE-Search,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
RepairAgent,TSAPR,Defects4J v1.2/2.0,no,no,yes,yes,no,None,D_same_benchmark_not_aligned
SpecRover,MAGIS,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
SpecRover,SWE-Search,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
MAGIS,SWE-Search,SWE-bench Lite,yes,yes,yes,no,yes,W1_SWE_BENCH_LITE_PASS1,B_protocol_aligned_stack_snapshot
